"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Chemical carcinogenesis - DNA adducts",168,39.605,7,1,2.1032e-13,1,1,7.1215e-05
"Bile secretion",275,64.83,23,1,2.717e-12,1,1,0.00044322
"Ascorbate and aldarate metabolism",88,20.746,2,1,5.7986e-10,1,1,0.00048077
"Biosynthesis of unsaturated fatty acids",83,19.567,2,1,2.1298e-09,1,1,0.00098311
"alpha-Linolenic acid metabolism",69,16.267,3,1,8.8269e-07,1,1,0.0015083
"Drug metabolism - cytochrome P450",172,40.548,7,1,8.1004e-14,1,1,0.0016173
"Ubiquinone and other terpenoid-quinone biosynthesis",83,19.567,2,1,2.1298e-09,1,1,0.0045442
"Metabolism of xenobiotics by cytochrome P450",197,46.442,6,1,0,1,1,0.0047939
"Phenylalanine metabolism",70,16.502,2,1,6.1436e-08,1,1,0.010169
"Olfactory transduction",1219,287.38,8,1,0,1,1,0.022702
"Porphyrin metabolism",195,45.971,8,1,2.7001e-15,1,1,0.030291
"Linoleic acid metabolism",84,19.803,5,1,1.2963e-06,1,1,0.040689
"Drug metabolism - other enzymes",158,37.248,14,1,1.5286e-07,1,1,0.043928
"Pentose and glucuronate interconversions",95,22.396,6,1,6.274e-07,1,1,0.049009
"Tyrosine metabolism",118,27.818,6,1,3.5269e-09,1,1,0.10957
"Retinol metabolism",127,29.94,3,1,4.1167e-13,1,1,0.13089
"Steroid hormone biosynthesis",200,47.149,7,1,9.6433e-17,1,1,0.13772
"Steroid biosynthesis",77,18.153,4,1,1.0174e-06,1,1,0.16106
"Amino sugar and nucleotide sugar metabolism",171,40.313,14,1,1.2496e-08,1,1,0.16208
"Arachidonic acid metabolism",168,39.605,15,1,8.0163e-08,1,1,0.32741
