symbol,sex,statistic_diet,p.adj_diet
Gtpbp3,M,1.695882917,0.133
Gucy1a2,M,1.607146626,0.142
Guk1,M,1.385210614,0.196
Gvin1,M,-1.710106503,0.148
Gyg,M,-1.7177357,0.144
H1f3,M,-1.486721779,0.179
H2-K1,M,-1.681600549,0.127
H2-M3,M,-1.451221109,0.184
H2-Ob,M,1.548204031,0.153
H2-Q6,M,-1.778381083,0.119
H2-Q7,M,-1.574656707,0.149
H2-T24,M,1.628411254,0.139
H2bc21,M,-1.761363484,0.109
H4c9,M,1.403079112,0.197
Hadha,M,1.459000398,0.189
Hapln4,M,1.763231999,0.124
Haus4,M,1.478876686,0.176
Hdac2,M,-1.889143625,0.114
Helz,M,1.688531448,0.129
Hemk1,M,1.532955588,0.177
Herc1,M,1.596628488,0.155
Herc2,M,1.783630746,0.109
Hes1,M,-1.600728628,0.141
Hif1an,M,-1.454227584,0.177
Hilpda,M,-1.733910235,0.115
Hint2,M,1.526052157,0.166
Hlx,M,1.616861529,0.15
Hmgcs1,M,-1.666754712,0.145
Hmmr,M,-1.452278985,0.179
Hnf1b,M,1.390775586,0.196
Hnrnpc,M,-1.795154082,0.12
Hnrnph1,M,-1.508927584,0.187
Homez,M,-1.567656723,0.15
Hps1,M,1.730552199,0.129
Hpse2,M,1.422010237,0.19
Hs3st3b1,M,-1.720473498,0.121
Hsd17b7,M,-1.545242609,0.17
Hsf3,M,-1.732487121,0.118
Hsp90aa1,M,-1.597352673,0.168
Hsp90b1,M,-1.726151202,0.131
Hspa8,M,-1.52379062,0.181
Hspbap1,M,-1.501509164,0.164
Htr1d,M,-1.656728366,0.134
Htra2,M,1.637288168,0.16
Icam2,M,1.515705765,0.171
Icmt,M,1.687356326,0.125
Ifitm3,M,-1.807174656,0.123
Ift22,M,1.569984351,0.165
Ift70b,M,-1.802771146,0.113
Igfbp7,M,1.878955397,0.1
Igsf21,M,1.626393314,0.149
Igsf9b,M,1.650437451,0.143
Iho1,M,-1.619008739,0.16
Iigp1,M,-1.633547184,0.134
Il10ra,M,-1.450654585,0.178
Il11,M,-1.883367847,0.103
Il17d,M,1.618033255,0.146
Il1r1,M,1.89799044,0.103
Il1r2,M,-1.684659669,0.134
Il36g,M,-1.732652426,0.116
Ilvbl,M,1.655166559,0.148
Inafm1,M,1.635137938,0.152
Inca1,M,1.497486813,0.192
Inha,M,1.591885745,0.168
Inka1,M,-1.712906854,0.123
Inpp1,M,-1.451688844,0.187
Inppl1,M,1.633835898,0.14
Insl3,M,1.563804811,0.16
Insm1,M,1.753359776,0.129
Ints1,M,1.450932095,0.192
Ipo9,M,1.908757891,0.106
Iqce,M,1.429508133,0.193
Iqsec1,M,1.451429435,0.178
Iqsec2,M,1.618319745,0.157
Irak4,M,-1.443110598,0.188
Irf1,M,-1.504234699,0.192
Irgm2,M,-1.691281504,0.122
Irx1,M,1.581503215,0.167
Irx2,M,1.516754181,0.168
Itgal,M,1.733346023,0.12
Itgb2,M,-1.71718232,0.119
Itgb3bp,M,-1.643862721,0.142
Itgb7,M,1.491415341,0.167
Itih2,M,-1.526015276,0.169
Itpkb,M,1.562952901,0.172
Jade3,M,-1.485749557,0.18
Jakmip3,M,-1.768587314,0.124
Jtb,M,-1.461885125,0.177
Jund,M,1.508573105,0.189
Kash5,M,1.653741112,0.147
Kbtbd11,M,1.480033446,0.17
Kcna2,M,1.433253912,0.183
Kcnab2,M,1.557500125,0.169
Kcnb1,M,1.773596313,0.107
Kcnc1,M,1.813693067,0.101
Kcnh4,M,-1.524685793,0.17
Kcnj9,M,1.602710204,0.164
Kcnk6,M,1.491211866,0.167
Kcnq4,M,1.855419249,0.108
Kdr,M,-1.620487157,0.151
Kif16b,M,-1.59230507,0.157
Kif19a,M,1.523861876,0.16
Kif1b,M,1.654234914,0.138
Kif1c,M,1.762775889,0.123
Kif20a,M,-1.79923458,0.117
Kifbp,M,1.580213585,0.154
Kin,M,-1.600347613,0.146
Klc4,M,1.639732868,0.154
Klf10,M,-1.487763159,0.168
Klf4,M,1.448308596,0.186
Klf5,M,-1.647595412,0.138
Klf7,M,-1.553483515,0.172
Klrg2,M,1.66428176,0.152
Kmt2a,M,1.695561051,0.124
Kndc1,M,1.663708784,0.133
Knop1,M,-1.442212312,0.185
Kremen1,M,1.502104757,0.177
Krt1,M,1.651748079,0.152
Krt9,M,-1.607819823,0.152
Kxd1,M,1.833989033,0.112
Lad1,M,-1.57098898,0.149
Lamp5,M,-1.799639927,0.109
Laptm5,M,1.438096061,0.189
Lca5,M,-1.621389412,0.141
Ldb2,M,-1.663809653,0.146
Ldb3,M,-1.519380967,0.177
Lemd2,M,1.595296342,0.164
Letmd1,M,-1.587846965,0.144
Lgi3,M,1.443074608,0.185
Liat1,M,1.725136369,0.139
Lif,M,-1.83961644,0.1
Limd1,M,1.841878132,0.106
Limd2,M,1.599963883,0.16
Limk1,M,1.578625784,0.173
Lingo1,M,1.728970508,0.127
Llgl1,M,1.436861173,0.182
Lmf2,M,1.573475862,0.169
Lor,M,1.644020186,0.159
Lrfn3,M,1.638233807,0.154
Lrif1,M,-1.635356655,0.16
Lrp1,M,1.387787448,0.195
Lrrc2,M,-1.48679572,0.184
Lrrc4,M,1.544365145,0.159
Lrrc41,M,1.504581421,0.179
Lrrc61,M,1.60957834,0.151
Lrrn2,M,1.57302197,0.154
Lrrn4cl,M,-1.449063225,0.197
Ltbp3,M,1.562438614,0.162
Ltbp4,M,1.706011623,0.145
Lxn,M,1.45653067,0.178
Lyz2,M,-1.492300546,0.175
Lzic,M,1.884694923,0.113
Mad1l1,M,1.684663362,0.128
Mad2l1,M,-1.476080867,0.182
Maged1,M,1.437354203,0.195
Maged2,M,1.401923746,0.192
Mak,M,-1.643158148,0.132
Manbal,M,1.497914629,0.188
Map1s,M,1.775326408,0.133
Map3k1,M,-1.471489811,0.184
Map6,M,1.497865292,0.191
Map6d1,M,-1.721056042,0.121
Mapk15,M,1.591485353,0.169
Mapk1ip1,M,-1.764520391,0.108
Mapkapk3,M,-1.838108218,0.106
Marchf2,M,1.416584199,0.191
Mast1,M,1.525040515,0.167
Mast4,M,1.788999952,0.108
Matk,M,1.711323495,0.131
Mboat4,M,-1.739622433,0.116
Mcrip1,M,1.475837625,0.188
Mdh2,M,1.411456925,0.196
Med21,M,-1.787728569,0.121
Med25,M,1.602505732,0.169
Med26,M,1.536646957,0.169
Med27,M,1.53166979,0.157
Mef2c,M,-1.86877804,0.107
Mettl18,M,-1.633609435,0.149
Mex3a,M,-1.422052369,0.187
Mfsd1,M,-1.408851007,0.197
Mfsd12,M,1.599305012,0.168
Mfsd4b5,M,1.460140717,0.185
Mfsd5,M,1.58759302,0.16
Mgat5b,M,1.662287718,0.141
Mid1,M,1.553134692,0.158
Mindy1,M,-1.718024517,0.119
Mindy4b-ps,M,-1.777224686,0.109
Mitd1,M,-1.835068481,0.1
Mkrn1,M,-1.400251843,0.193
Mks1,M,1.541944724,0.169
Mlycd,M,1.612735636,0.138
Mns1,M,-1.72007514,0.136
Mob2,M,1.471299266,0.189
Mobp,M,1.394961768,0.195
Morn1,M,1.509719152,0.169
Mospd3,M,1.75880883,0.134
Mpg,M,1.52541154,0.166
Mphosph10,M,-1.493396236,0.168
Mpp3,M,1.599804989,0.143
Mpv17,M,-1.433819211,0.197
Mpzl3,M,-1.574374754,0.153
Mrm2,M,1.674273254,0.126
Mrnip,M,1.759347264,0.125
Mrpl11,M,1.664601367,0.127
Mrpl43,M,1.516531955,0.161
Mrpl52,M,1.427208484,0.185
Mrpl54,M,1.730989648,0.137
Mrps18b,M,1.616092037,0.137
Ms4a6b,M,-1.458698709,0.182
Msra,M,1.898354818,0.101
Mt1,M,1.699834556,0.135
Mterf1b,M,-1.418683753,0.189
Mtfr2,M,-1.452304645,0.185
Mthfd2,M,-1.625721737,0.154
Mtss2,M,1.869274082,0.108
Mtx1,M,1.550384071,0.176
Mxra8,M,1.39947339,0.192
Myh1,M,1.548345887,0.16
Myh6,M,1.744753953,0.114
Myl4,M,1.695159635,0.133
Myl6b,M,1.501647794,0.171
Mylk4,M,-1.56160709,0.166
Myo1h,M,1.717708113,0.13
Myo5c,M,-1.810385487,0.104
Myo7a,M,1.432732947,0.187
Myorg,M,1.536882904,0.161
Myrf,M,1.440940957,0.186
Mzt2,M,1.431744135,0.198
Naa20,M,-1.561811866,0.153
Nacc1,M,1.556481891,0.178
Naif1,M,1.416060361,0.199
Nanp,M,-1.514165911,0.175
Nat2,M,-1.576227634,0.157
Nat8l,M,1.82108889,0.123
Ncbp1,M,-1.647339953,0.154
Ncbp2as2,M,1.590361894,0.148
Ncf4,M,-1.529201935,0.159
Nckap5l,M,1.547427333,0.177
Nckipsd,M,1.912110973,0.111
Ncmap,M,-1.493608694,0.172
Ncs1,M,1.51699088,0.183
Ndufa11,M,1.672036713,0.13
Ndufa4l2,M,1.766784843,0.113
Ndufb3,M,1.595804067,0.142
Ndufv3,M,1.495901442,0.191
Nek11,M,1.642977414,0.133
Nek5,M,1.630181601,0.147
Nelfb,M,1.583982534,0.15
Nell1,M,1.627984037,0.136
Neurl1a,M,1.609898944,0.163
Neurod1,M,-1.589152999,0.144
Nfatc2,M,1.820020026,0.101
Nfe2l3,M,-1.787303268,0.11
Nfkbil1,M,1.783078926,0.123
Nfkbiz,M,-1.583894202,0.15
Nfs1,M,-1.493300173,0.169
Nherf1,M,1.438046133,0.196
Nipsnap1,M,1.495580113,0.166
Nisch,M,1.760451904,0.116
Nkapl,M,-1.54388588,0.154
Nkiras1,M,-1.614121242,0.154
Nlrp6,M,1.400174513,0.193
Nmbr,M,-1.690299264,0.125
Nmral1,M,1.648312133,0.132
Nod2,M,-1.629943339,0.139
Nodal,M,-1.473094419,0.182
Nol3,M,1.566367354,0.16
Nova2,M,1.708463866,0.123
Npepl1,M,1.4553806,0.182
Npepps,M,-1.41952174,0.195
Nphp4,M,1.593611184,0.158
Npr2,M,1.750507999,0.114
Npsr1,M,-1.597171713,0.141
Nr2c2ap,M,1.64903909,0.143
Nr3c2,M,-1.694740072,0.139
Nr4a3,M,-1.743089224,0.117
Nrap,M,1.511981111,0.171
Nrbf2,M,-1.626675513,0.136
Nrip2,M,1.460238829,0.199
Nrn1,M,1.724650924,0.138
Nrsn2,M,1.84451723,0.12
Nrxn2,M,1.613625182,0.163
Nsdhl,M,-1.591160767,0.148
Nsl1,M,-1.706616979,0.119
Nsmce3,M,1.462152782,0.175
Ntsr2,M,1.528208817,0.161
Nudcd3,M,1.621113444,0.141
Nudt7,M,-1.826795383,0.114
Nup160,M,-1.688118698,0.14
Nup210,M,1.470313504,0.172
Nynrin,M,1.443128918,0.19
Obi1,M,-1.599918054,0.146
Odad4,M,-1.762772117,0.117
Odc1,M,-1.601957808,0.15
Odf2,M,1.670659135,0.136
Odf3l2,M,1.480097768,0.193
Ogdh,M,1.878228925,0.104
Ogn,M,-1.611415804,0.152
Onecut1,M,1.755386157,0.111
Opn3,M,1.503910693,0.169
Oprm1,M,1.499930708,0.165
Or10h28,M,-1.754036698,0.11
Or1e21,M,-1.512316659,0.165
Or1e35,M,-1.617877468,0.14
Or1j13,M,-1.808612211,0.123
Or2d36,M,-1.600986539,0.156
Or2y1,M,-1.438791524,0.183
Or4a74,M,-1.7993807,0.105
Or4c116,M,-1.686185669,0.123
Or4c11c,M,-1.620739271,0.14
Or4f56,M,-1.592235682,0.142
Or51a42,M,-1.820136401,0.112
Or51e1,M,-1.6626368,0.134
Or51q1,M,-1.441779333,0.181
Or52d13,M,-1.410305999,0.191
Or5a21,M,-1.551985844,0.163
Or5p81,M,-1.738368408,0.127
Or7e168,M,1.628840186,0.15
Or7g28,M,-1.458330901,0.176
Or8b39,M,-1.492326157,0.18
Or8b40,M,-1.683325602,0.123
Osbpl10,M,1.434430667,0.196
Osbpl7,M,1.784217794,0.121
Oscar,M,1.767176421,0.115
Osgepl1,M,-1.758414605,0.115
Ost4,M,1.460740016,0.179
Ostf1,M,1.571572126,0.147
Otub2,M,-1.645865257,0.131
Otud5,M,1.706316724,0.14
Otulinl,M,-1.647091143,0.134
Oxa1l,M,1.561803254,0.164
Oxtr,M,-1.39901768,0.192
Pabpc1l,M,-1.616787199,0.143
Pacs1,M,1.522194497,0.173
Palb2,M,-1.685665722,0.132
Paqr3,M,1.8248788,0.109
Paqr6,M,1.483169374,0.188
Paqr9,M,-1.526202344,0.168
Parm1,M,-1.481375279,0.187
Parp6,M,-1.45064801,0.191
Parpbp,M,-1.626971264,0.138
Parvb,M,1.473424864,0.173
Pbx2,M,1.730915454,0.124
Pcbd2,M,1.520591605,0.167
Pcbp1,M,1.886505109,0.109
Pcdhga7,M,1.485286406,0.169
Pcdhgb4,M,1.474284444,0.173
Pced1a,M,1.443826148,0.195
Pck2,M,1.701873006,0.134
Pcnx2,M,1.85953401,0.114
Pcsk1n,M,1.609279105,0.166
Pcyt1a,M,-1.438601442,0.182
Pdcd2,M,1.427548574,0.19
Pdcd7,M,1.391744033,0.195
Pdgfd,M,-1.665494004,0.134
Pdia3,M,-1.510410236,0.175
Pdk2,M,1.416287004,0.195
Pdlim1,M,-1.728427626,0.131
Pdzd11,M,1.453948313,0.192
Pef1,M,1.576939565,0.169
Pex10,M,1.509541026,0.165
Pfkfb3,M,-1.582091235,0.156
Pfkp,M,1.695096012,0.122
Pgam1-ps2,M,1.712686955,0.147
Pglyrp1,M,1.490998778,0.181
Pgp,M,1.566377249,0.172
Pgs1,M,1.64094384,0.149
Phactr3,M,1.715319483,0.128
Phf11d,M,-1.551045741,0.162
Phf5a,M,-1.719372016,0.126
Phlda3,M,1.868189648,0.114
Pigs,M,1.854245017,0.117
Pigt,M,1.617327161,0.164
Pigv,M,-1.584312511,0.151
Pim1,M,1.474746542,0.192
Pink1,M,1.604513474,0.161
Pkdcc,M,1.763719098,0.131
Pkdrej,M,1.530231307,0.177
Pla2g6,M,1.428178435,0.184
Plbd2,M,1.562855575,0.176
Plekha2,M,-1.642342114,0.139
Plekha4,M,1.448915835,0.198
Plekhf1,M,1.834404388,0.11
Plekhf2,M,-1.482723069,0.184
Plekhh2,M,-1.636943792,0.143
Plekhm2,M,1.461207985,0.195
Plgrkt,M,-1.603462394,0.15
Plppr1,M,-1.578009677,0.149
Plxna2,M,1.63426577,0.149
Pnkd,M,1.648911237,0.157
Pnldc1,M,-1.421588635,0.188
Pnma3,M,1.606415392,0.152
Pnpla1,M,1.538094355,0.161
Poc1a,M,1.757519649,0.132
Podn,M,-1.548851035,0.181
Polg2,M,-1.399638008,0.192
Polr2f,M,1.462149051,0.198
Polr3d,M,1.786651586,0.121
Polr3e,M,1.843975348,0.102
Polr3g,M,-1.44308276,0.18
Pomgnt1,M,1.824614121,0.1
Pomgnt2,M,1.651992899,0.149
Popdc2,M,-1.653890497,0.135
Ppara,M,1.463293106,0.182
Ppef2,M,-1.45323208,0.185
Ppfia4,M,1.864916809,0.118
Pphln1-ps1,M,-1.516432848,0.17
Ppic,M,-1.755426948,0.11
Ppp2r5a,M,-1.407742508,0.195
Ppp5c,M,1.666977152,0.141
Ppwd1,M,-1.729848133,0.123
Prdm11,M,1.636227254,0.135
Prdm8,M,1.546902933,0.156
Prim1,M,-1.411423543,0.195
Prkab1,M,1.867758121,0.107
Prkaca,M,1.551409224,0.153
Prmt9,M,-1.582554049,0.165
Prok2,M,-1.510655626,0.163
Prokr1,M,1.686357708,0.127
Prpf19,M,1.557275303,0.169
Prr12,M,1.800037432,0.113
Prr18,M,1.567181146,0.15
Prr19,M,1.577537035,0.167
Prr35,M,1.456310702,0.177
Prr36,M,1.479090417,0.178
Prrc2a,M,1.614042159,0.157
Prxl2a,M,1.436191071,0.188
Psd2,M,1.412126203,0.189
Psg25,M,-1.770852703,0.107
Psmg1,M,-1.561956741,0.154
Psmg4,M,1.503875869,0.165
Pstpip1,M,-1.768674011,0.11
Ptcd1,M,1.546622022,0.153
Ptgdr,M,-1.414783029,0.194
Ptges3l,M,1.673335724,0.14
Ptov1,M,1.807457109,0.116
Ptprb,M,1.437346055,0.193
Ptprc,M,-1.812009866,0.115
Ptprf,M,1.51868766,0.175
Ptprn,M,1.512744396,0.18
Ptprn2,M,1.67763737,0.131
Qsox1,M,1.642344758,0.137
Qtrt2,M,-1.532240336,0.172
Rab11fip5,M,1.709217403,0.143
Rab24,M,1.622468255,0.14
Rab33a,M,1.517957232,0.161
Rab3a,M,1.445070874,0.181
Rabl2,M,-1.88107699,0.102
Rad50,M,-1.434100956,0.192
Rad51ap2,M,1.807581107,0.124
Rad54l2,M,1.74449937,0.112
Radil,M,1.632748771,0.15
Rapgef3,M,1.465151476,0.183
Rasa3,M,1.684692565,0.13
Rasal3,M,-1.543946655,0.154
Rasd1,M,1.646071912,0.133
Rasgef1a,M,-1.484683759,0.183
Rasgrp3,M,-1.827284758,0.112
Raver1,M,1.630944822,0.144
Rbfox2,M,1.551208852,0.155
Rbks,M,-1.600469403,0.146
Rbm28,M,-1.739887963,0.115
Rbm48,M,-1.502179411,0.175
Rbmx2,M,1.661100305,0.136
Rcc2,M,1.422612706,0.197
Rec8,M,-1.737930507,0.118
Rere,M,1.45913845,0.176
Retreg2,M,1.501542959,0.192
Rfc4,M,-1.764874545,0.118
Rhbdd3,M,1.468453908,0.194
Rhbdl1,M,1.651811726,0.155
Rhoh,M,-1.466932055,0.182
Rhpn2,M,1.842160692,0.102
Rimkla,M,-1.50266941,0.179
Rin2,M,1.485287861,0.181
Ripk2,M,-1.63593273,0.141
Rnasek,M,1.784984883,0.127
Rnf113a1,M,1.596445113,0.143
Rnf138rt1,M,1.474386381,0.172
Rnf17,M,-1.438082455,0.189
Rnf214,M,1.782284986,0.117
Rnpepl1,M,1.557620131,0.166
Rpap3,M,1.797474275,0.103
Rprd2,M,-1.612836125,0.145
Rps28,M,1.516474051,0.179
Rps4l,M,-1.460021685,0.176
Rps6-ps4,M,-1.661896292,0.138
Rps6ka1,M,1.545426832,0.162
Rps6ka2,M,-1.629034869,0.143
Rps6kb2,M,1.54993965,0.168
Rpusd3,M,1.631739134,0.151
Rrh,M,1.427717388,0.186
Rrp1,M,1.417629818,0.19
Rrp12,M,1.420696867,0.187
Rskr,M,1.568442168,0.15
Rsph4a,M,-1.728657426,0.117
Rtkn,M,1.525695732,0.184
Rtkn2,M,1.663822648,0.132
Rtl1,M,1.626502614,0.142
Rtl8b,M,1.76287503,0.134
Rtn1,M,1.598125891,0.154
Rtn4r,M,1.830036418,0.121
Rtp1,M,1.687791143,0.126
Sae1,M,-1.428571408,0.188
Sall1,M,-1.621755053,0.138
Samd1,M,1.478529226,0.181
Samd14,M,1.531235542,0.183
Samd9l,M,-1.559846916,0.158
Sardh,M,1.448862913,0.192
Sars2,M,1.490748655,0.179
Sc5d,M,-1.467104471,0.193
Scaf1,M,1.46732952,0.195
Scamp4,M,1.476494302,0.193
Scamp5,M,1.51725377,0.186
Scd1,M,-1.517109514,0.165
Scgn,M,1.542277632,0.154
Scrib,M,1.839322864,0.123
Scrn3,M,-1.37445085,0.199
Scube1,M,1.461919816,0.184
Sdc4,M,1.686112676,0.147
Sdk1,M,1.716438836,0.141
Sdsl,M,1.393537487,0.196
Sec14l2,M,1.7351731,0.115
Secisbp2,M,1.522846129,0.162
Selenoo,M,1.547468625,0.153
Sema6b,M,1.471090591,0.196
Semp2l1,M,-1.63840862,0.14
Senp1,M,-1.732842895,0.125
Senp3,M,-1.706999301,0.124
Senp8,M,-1.594519634,0.165
Septin4,M,1.726961791,0.117
Serp2,M,1.66331596,0.131
Serpinb6a,M,-1.642910235,0.151
Serpinf1,M,1.821096947,0.119
Sertm1,M,-1.452675513,0.177
Sesn2,M,1.497083564,0.186
Sf3a3,M,-1.557625745,0.173
Sf3b5,M,1.626432631,0.143
Sfrp2,M,1.496683433,0.174
Sfrp4,M,-1.385719678,0.196
Sgk1,M,1.589627874,0.148
Sgsm3,M,1.683599426,0.139
Sh3bgrl3,M,1.528345161,0.174
Sh3bp4,M,1.423303149,0.191
Shmt1,M,-1.703928123,0.124
Shroom1,M,1.806217381,0.101
Shroom4,M,1.812633834,0.115
Sipa1l3,M,1.449031557,0.195
Sirt2,M,1.818144815,0.11
Sirt4,M,-1.512720483,0.172
Ska3,M,-1.398454861,0.192
Slbp,M,-1.768936899,0.108
Slc12a5,M,1.79331913,0.117
Slc13a1,M,-1.559370302,0.15
Slc16a10,M,-1.541751413,0.155
Slc16a13,M,1.387876558,0.196
Slc16a9,M,-1.648569235,0.137
Slc17a8,M,-1.640047528,0.136
Slc20a2,M,1.524970904,0.159
Slc22a19,M,-1.494209523,0.17
Slc25a10,M,1.62999613,0.147
Slc25a14,M,-1.644364945,0.148
Slc25a22,M,1.503617486,0.186
Slc25a26,M,1.530104398,0.159
Slc25a37,M,-1.444677108,0.18
Slc25a4,M,1.574654766,0.169
Slc25a51,M,-1.576272148,0.161
Slc25a53,M,-1.407127211,0.19
Slc2a1,M,1.909158226,0.105
Slc2a8,M,1.822087717,0.122
Slc37a2,M,-1.452239145,0.178
Slc38a8,M,1.655736789,0.149
Slc39a9,M,-1.608541931,0.161
Slc40a1,M,-1.510809451,0.164
Slc41a3,M,1.76593584,0.109
Slc43a3,M,-1.678617343,0.127
Slc45a1,M,1.639747304,0.156
Slc49a4,M,1.67566742,0.15
Slc5a6,M,1.630760254,0.137
Slc6a7,M,1.616070321,0.158
Slc8a2,M,1.708088491,0.147
Slco2b1,M,1.702780196,0.121
Slco5a1,M,-1.492762405,0.178
Smad1,M,-1.821363375,0.115
Smad7,M,1.428301952,0.198
Smarcd1,M,1.599025911,0.167
Smarcd2,M,1.533893706,0.162
Smg8,M,-1.47715794,0.174
Smim1,M,1.78192258,0.107
Smim10l2a,M,1.787158345,0.122
Smim12,M,1.683848908,0.145
Smim19,M,1.73727995,0.129
Smim3,M,1.554503245,0.152
Smo,M,1.594221575,0.146
Smpd2,M,1.456938461,0.191
Smpdl3a,M,-1.927249465,0.105
Smpdl3b,M,-1.53314399,0.156
Smyd1,M,-1.455821964,0.18
Snapin,M,-1.490348109,0.168
Sncb,M,1.518577603,0.188
Snrnp35,M,1.636273046,0.142
Snx22,M,1.79251309,0.122
Sobp,M,1.696081871,0.121
Socs1,M,1.531923189,0.175
Socs7,M,1.651025186,0.132
Sorl1,M,1.614951911,0.139
Sowahc,M,-1.437361067,0.198
Sp7,M,1.77580609,0.11
Spaca6,M,1.823129573,0.115
Spacdr,M,1.65988012,0.156
Sparcl1,M,1.665241028,0.149
Spata4,M,-1.743205269,0.119
Spata9,M,-1.492869112,0.172
Spen,M,1.483095409,0.171
Spg7,M,1.669548555,0.127
Spidr,M,-1.789026238,0.104
Spr,M,1.808052924,0.125
Sptan1,M,1.608370215,0.144
Spty2d1,M,-1.602564009,0.151
Spx,M,-1.414673071,0.197
Sqle,M,-1.52785324,0.161
Srarp,M,1.927928236,0.1
Srcin1,M,1.690737363,0.138
Srm,M,1.857598746,0.103
Srp54b,M,-1.501005907,0.186
Srrd,M,1.597129068,0.167
Srsf3,M,-1.945148524,0.101
Ss18l2,M,1.765014079,0.109
Ssrp1,M,-1.598349319,0.141
Sstr2,M,1.68063791,0.139
Stag3,M,-1.467135891,0.173
Stambpl1,M,-1.517488009,0.177
Stard6,M,-1.66632282,0.134
Stim1,M,1.562331467,0.164
Strip1,M,1.692408338,0.141
Strip2,M,-1.93573367,0.104
Stxbp1,M,1.693235738,0.127
Suds3,M,1.411508397,0.196
Sufu,M,1.84229231,0.106
Sugp1,M,1.907830329,0.105
Sumf2,M,1.451758322,0.18
Sun1,M,1.506039981,0.181
Susd3,M,1.434334835,0.183
Swap70,M,-1.528627924,0.158
Syn1,M,1.561724951,0.15
Syn3,M,1.603343263,0.143
Syne1,M,1.766685458,0.118
Syngr2,M,1.762361974,0.113
Synpr,M,-1.563386609,0.174
Sys1,M,1.428558765,0.184
Tac1,M,-1.485832098,0.178
Tafazzin,M,1.894360507,0.108
Tango2,M,1.427858965,0.186
Tbata,M,-1.765205874,0.121
Tbc1d30,M,-1.611755411,0.162
Tbr1,M,1.612258699,0.142
Tbx15,M,-1.580838294,0.146
Tbx19,M,1.61573362,0.138
Tbx5,M,1.491392757,0.169
Tcam1,M,-1.467760686,0.178
Tceal1,M,-1.514298845,0.169
Tceal8,M,-1.689088665,0.144
Tcf25,M,1.816747191,0.103
Tcf7,M,-1.60492139,0.14
Tchh,M,1.641704531,0.145
Tcof1,M,1.538336367,0.172
Tdg,M,-1.47740812,0.175
Tdrp,M,-1.680095518,0.124
Tecpr2,M,1.559497183,0.154
Tecrl,M,1.537867034,0.155
Tekt5,M,1.655692143,0.132
Tesk1,M,1.621945675,0.16
Tex264,M,1.495007722,0.185
Tfpi,M,-1.882615675,0.102
Tgfb3,M,-1.712561811,0.119
Th,M,1.750484765,0.12
Thap2,M,-1.483355689,0.192
Thap3,M,1.46781758,0.195
Tiam2,M,-1.818663148,0.103
Tigar,M,-1.632623617,0.134
Tinagl1,M,1.466310096,0.184
Tln2,M,1.822561062,0.102
Tlnrd1,M,1.449003827,0.19
Tm6sf2,M,-1.48937198,0.193
Tmc4,M,-1.451565431,0.18
Tmed1,M,1.60119028,0.151
Tmem119,M,1.829497871,0.105
Tmem145,M,1.710437174,0.137
Tmem178b,M,1.57887734,0.145
Tmem19,M,-1.557567367,0.169
Tmem192,M,1.465199328,0.177
Tmem198,M,1.632226681,0.161
Tmem200c,M,1.801731408,0.112
Tmem201,M,1.558056744,0.173
Tmem237,M,-1.521918355,0.174
Tmem242,M,1.413806969,0.199
Tmem266,M,1.897741832,0.103
Tmem63b,M,1.626345838,0.16
Tmem94,M,1.519785021,0.182
Tnfaip8l3,M,-1.530832601,0.166
Tnfrsf10b,M,-1.443206321,0.194
Tnfrsf25,M,-1.602916221,0.14
Tnip1,M,1.40188079,0.198
Tnmd,M,1.568645487,0.151
Tnnc1,M,1.524476357,0.159
Tnr,M,1.619054469,0.137
Tnxb,M,-1.411509175,0.189
Tom1,M,1.680329818,0.132
Tomm34,M,-1.487188124,0.174
Topors,M,-1.648490616,0.131
Tor1b,M,-1.859779578,0.113
Tox2,M,1.523849313,0.169
Tpi1,M,1.484709987,0.181
Tpk1,M,1.814221814,0.109
Tpm4,M,-1.49675971,0.176
Tpra1,M,1.529229021,0.183
Traf2,M,1.856745845,0.11
Traf3ip1,M,1.748509916,0.116
Trak1,M,1.431093992,0.194
Trappc1,M,1.579962076,0.146
Trib1,M,1.715607174,0.125
Trim13,M,-1.405044664,0.193
Trim25,M,-1.480348222,0.17
Trim8,M,1.687639118,0.149
Trip10,M,1.798136664,0.119
Trp53i13,M,1.924464317,0.106
Trp53inp2,M,1.440204343,0.19
Trp63,M,-1.741953909,0.115
Trpa1,M,-1.393303209,0.194
Trpt1,M,1.402172534,0.192
Tspan31,M,-1.456639808,0.177
Tspan4,M,1.495881483,0.183
Tspan9,M,1.568670593,0.15
Tssk4,M,-1.438327261,0.183
Ttpa,M,-1.765967801,0.133
Ttyh3,M,1.744000304,0.138
Tuba1b,M,1.423016671,0.187
Tuba8,M,1.493254725,0.173
Tubb2a,M,1.425397747,0.195
Tubb4a,M,1.533498847,0.164
Txndc5,M,1.495369527,0.167
Txndc9,M,-1.815181574,0.115
Txnrd2,M,1.688827361,0.123
Uba5,M,-1.593955575,0.165
Ubald2,M,1.702442624,0.121
Ube2a,M,-1.598186435,0.156
Ube2n-ps1,M,-1.744279395,0.114
Ube2r2,M,1.731983881,0.114
Ube2v1,M,1.937213947,0.107
Ubl7,M,1.726466057,0.133
Ubtd1,M,1.701533384,0.142
Ubxn4,M,-1.614276592,0.166
Uchl5,M,1.643981321,0.14
Ucp2,M,1.573662095,0.147
Ufsp1,M,1.632588483,0.134
Umodl1,M,1.904685521,0.102
