Sex,Legend,name,n,G,U,grubbs,p_grubbs
M,Control Vehicle,FPT_PreferenceScore_Percentage,12,1.96,0.62,lowest value 88.52 is an outlier,0.196
M,HFHS 1472,FPT_PreferenceScore,12,1.96,0.621,lowest value 0.94 is an outlier,0.198
M,Control Vehicle,FPT_TotalCumulative_HFHSDiet_36h,12,1.95,0.622,highest value 19 is an outlier,0.201
F,HFHS FOS+GOS,LocomotorActivity12h,12,1.95,0.624,highest value 32536.4 is an outlier,0.203
M,HFHS 1472,FPT_PreferenceScore_Percentage,12,1.95,0.623,lowest value 94.06 is an outlier,0.203
M,HFHS FOS+GOS,SPT_TotalCumulative_WaterDiet_36h,13,1.98,0.645,lowest value 2.5 is an outlier,0.206
F,HFHS 1472,FPT_TotalCumulative_HFHSDiet_ON,13,1.98,0.645,highest value 26 is an outlier,0.206
M,HFHS FOS+GOS,CentreTime.,13,1.98,0.646,highest value 6.7 is an outlier,0.207
M,Control Vehicle,FPT_PreferenceScore_Percentage_ON,12,1.94,0.627,lowest value 86.27451 is an outlier,0.21
F,Control Vehicle,FPT_TotalCumulative_CTDiet_12h,12,1.94,0.628,highest value 0.8 is an outlier,0.212
M,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet,12,1.93,0.63,highest value 106 is an outlier,0.215
M,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_48h,12,1.93,0.63,highest value 106 is an outlier,0.215
M,Control Vehicle,SPT_TotalCumulative_SaccharinDiet_48h,12,1.93,0.631,highest value 17 is an outlier,0.218
F,HFHS FOS+GOS,FPT_PreferenceScore_Percentage,12,1.93,0.632,lowest value 93.55 is an outlier,0.219
F,HFHS FOS+GOS,SPT_PreferenceScore_OD,12,1.92,0.633,highest value 1 is an outlier,0.22
F,HFHS FOS+GOS,SPT_TotalCumulative_WaterDiet_12h,12,1.92,0.633,highest value 5 is an outlier,0.221
F,HFHS Vehicle,FPT_PreferenceScore_Percentage,12,1.92,0.634,lowest value 91.47 is an outlier,0.222
M,Control Vehicle,FPT_TotalCumulative_CTDiet_ON,12,1.91,0.637,highest value 1.4 is an outlier,0.229
M,Control Vehicle,FPT_PreferenceScore_ON,12,1.91,0.638,lowest value 0.86 is an outlier,0.231
F,HFHS Vehicle,FirstMealSize,12,1.91,0.64,highest value 7.96 is an outlier,0.235
F,HFHS FOS+GOS,Rearing_ExternalZone20.,12,1.9,0.64,highest value 4142 is an outlier,0.235
M,HFHS Vehicle,FaecalPellets,12,1.9,0.641,highest value 30 is an outlier,0.237
M,Control Vehicle,SPT_CumulativeDrinkIntake_Saccharin_OD,12,1.9,0.642,highest value 8.5 is an outlier,0.239
M,HFHS Vehicle,CentreTime.,12,1.9,0.642,highest value 7 is an outlier,0.239
F,Control Vehicle,FPT_TotalCumulative_HFHSDiet_24h,12,1.9,0.643,highest value 9.1 is an outlier,0.242
M,HFHS Vehicle,TimeThigmotaxis20.,12,1.89,0.644,lowest value 93 is an outlier,0.244
M,Control Vehicle,FPT_TotalCumulative_CTDiet_12h,12,1.89,0.645,highest value 0.9 is an outlier,0.245
F,Control Vehicle,FPT_PreferenceScore_Percentage_ON,12,1.89,0.647,lowest value 88.679245 is an outlier,0.249
F,HFHS FOS+GOS,SPT_TotalCumulative_WaterDiet_48h,12,1.89,0.647,highest value 11 is an outlier,0.249
M,HFHS FOS+GOS,SPT_Ratio_ON,13,1.92,0.666,highest value 3.11111111 is an outlier,0.251
M,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_12h,13,1.92,0.667,highest value 25.8 is an outlier,0.253
M,HFHS FOS+GOS,TimeThigmotaxis20.,13,1.92,0.668,lowest value 93.4 is an outlier,0.255
F,HFHS 1472,SPT_TotalCumulative_WaterDiet_12h,13,1.92,0.668,lowest value 1.5 is an outlier,0.256
F,HFHS Vehicle,AverageMealSize.g.,12,1.87,0.652,highest value 3.49 is an outlier,0.26
M,HFHS Vehicle,Rearing_Centre,12,1.87,0.652,highest value 649 is an outlier,0.261
F,HFHS FOS+GOS,SPT_CumulativeDrinkIntake_Saccharin_ON,12,1.87,0.652,highest value 12.5 is an outlier,0.262
F,HFHS FOS+GOS,SPT_Ratio_ON,12,1.86,0.655,highest value 4.16666667 is an outlier,0.268
F,Control Vehicle,NumberMeals,12,1.85,0.659,highest value 9 is an outlier,0.278
M,HFHS Vehicle,Rearing_ExternalZone20.,12,1.85,0.659,highest value 2667 is an outlier,0.278
F,HFHS 1472,FaecalPellets,13,1.88,0.68,highest value 26 is an outlier,0.286
F,HFHS Vehicle,TimeThigmotaxis10.,12,1.84,0.664,lowest value 47.3 is an outlier,0.29
M,HFHS Vehicle,Rears12h,12,1.84,0.665,highest value 2545 is an outlier,0.292
M,Control Vehicle,FaecalPellets,12,1.84,0.665,lowest value 15 is an outlier,0.293
F,HFHS 1472,NumberMeals,13,1.87,0.683,lowest value 1 is an outlier,0.293
M,HFHS FOS+GOS,SPT_TotalCumulative_SaccharinDiet_12h,13,1.87,0.685,lowest value 0 is an outlier,0.298
F,Control Vehicle,FPT_TotalCumulative_HFHSDiet_12h,12,1.82,0.672,highest value 7.7 is an outlier,0.308
F,HFHS FOS+GOS,SPT_CumulativeDrinkIntake_Water_OD,12,1.82,0.673,highest value 4 is an outlier,0.312
F,Control Vehicle,FPT_TotalCumulative_HFHS_OD,12,1.81,0.674,lowest value 0.3 is an outlier,0.314
M,HFHS FOS+GOS,SPT_PreferenceScore_ON,13,1.85,0.69,lowest value 0.25 is an outlier,0.314
F,HFHS 1472,SPT_CumulativeDrinkIntake_Water_ON,13,1.85,0.691,highest value 7 is an outlier,0.315
F,HFHS 1472,Rears12h,13,1.85,0.692,lowest value 2066 is an outlier,0.319
M,Control Vehicle,FPT_PreferenceScore,12,1.81,0.676,lowest value 0.89 is an outlier,0.32
F,HFHS 1472,Rearing_ExternalZone20.,13,1.84,0.694,highest value 3717 is an outlier,0.324
F,HFHS FOS+GOS,SPT_TotalCumulative_WaterDiet_36h,12,1.8,0.678,highest value 9 is an outlier,0.325
M,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_ON,13,1.83,0.696,lowest value 8.2 is an outlier,0.331
M,HFHS 1472,Rearing_Centre,12,1.8,0.68,lowest value 0 is an outlier,0.332
M,HFHS Vehicle,LocomotorActivity12h,12,1.79,0.681,highest value 24528.8 is an outlier,0.334
M,HFHS Vehicle,NumberMeals,12,1.79,0.682,highest value 9 is an outlier,0.337
F,HFHS FOS+GOS,FPT_PreferenceScore,12,1.79,0.682,lowest value 0.94 is an outlier,0.337
M,HFHS FOS+GOS,SPT_TotalCumulative_WaterDiet_24h,13,1.83,0.699,lowest value 1.5 is an outlier,0.339
F,Control Vehicle,FPT_TotalCumulative_CTDiet_ON,12,1.79,0.683,lowest value 0 is an outlier,0.34
F,Control Vehicle,DistanceThigmotaxis10.,12,1.78,0.685,lowest value 12.6 is an outlier,0.344
F,HFHS Vehicle,Rearing_Centre,12,1.78,0.685,lowest value 130 is an outlier,0.346
M,HFHS FOS+GOS,LocomotorActivity12h,13,1.81,0.703,highest value 19605 is an outlier,0.352
M,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_24h,12,1.77,0.688,highest value 49.7 is an outlier,0.353
F,HFHS Vehicle,SPT_CumulativeDrinkIntake_Water_ON,12,1.77,0.688,lowest value 1.5 is an outlier,0.354
F,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_24h,12,1.77,0.689,highest value 1 is an outlier,0.358
F,Control Vehicle,FPT_PreferenceScore_ON,12,1.77,0.69,lowest value 0.89 is an outlier,0.36
F,HFHS Vehicle,CentreDistance_Percentage,12,1.77,0.69,lowest value 26.2 is an outlier,0.36
M,HFHS Vehicle,SPT_Ratio_ON,12,1.76,0.692,highest value 4.14285714 is an outlier,0.367
F,HFHS FOS+GOS,Rears12h,12,1.76,0.692,highest value 4458 is an outlier,0.367
M,HFHS FOS+GOS,SPT_PreferenceScore_OD,13,1.8,0.708,highest value 1 is an outlier,0.367
M,Control Vehicle,CentreTime.,12,1.76,0.692,highest value 15.6 is an outlier,0.368
M,Control Vehicle,TimeThigmotaxis20.,12,1.76,0.693,lowest value 84.4 is an outlier,0.371
F,HFHS 1472,SPT_TotalCumulative_SaccharinDiet_12h,13,1.79,0.709,lowest value 1 is an outlier,0.372
M,HFHS 1472,FPT_PreferenceScore_Percentage_ON,12,1.75,0.695,lowest value 93.6708861 is an outlier,0.376
F,HFHS Vehicle,DistanceThigmotaxis20.,12,1.75,0.695,highest value 73.8 is an outlier,0.377
F,HFHS 1472,FPT_PreferenceScore_OD,13,1.79,0.711,lowest value 0.86 is an outlier,0.378
F,HFHS Vehicle,Rearing_ExternalZone10.,12,1.75,0.696,highest value 2190 is an outlier,0.379
M,Control Vehicle,SPT_TotalCumulative_SaccharinDiet_12h,12,1.75,0.698,highest value 5.5 is an outlier,0.385
F,HFHS Vehicle,SPT_TotalCumulative_WaterDiet_12h,12,1.74,0.699,lowest value 1 is an outlier,0.388
F,HFHS Vehicle,LocomotorActivity12h,12,1.74,0.7,highest value 31376 is an outlier,0.39
M,HFHS 1472,FaecalPellets,12,1.74,0.701,lowest value 12 is an outlier,0.394
M,Control Vehicle,Rearing_Centre,12,1.74,0.701,highest value 500 is an outlier,0.396
M,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_36h,12,1.73,0.702,highest value 94.6 is an outlier,0.397
F,HFHS Vehicle,DistanceThigmotaxis10.,12,1.73,0.703,highest value 32.7 is an outlier,0.402
F,HFHS Vehicle,FaecalPellets,12,1.73,0.703,highest value 32 is an outlier,0.403
M,Control Vehicle,FPT_PreferenceScore_Percentage_OD,12,1.73,0.704,lowest value 90.90909 is an outlier,0.405
F,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_24h,12,1.73,0.704,highest value 29.2 is an outlier,0.405
F,HFHS FOS+GOS,SPT_PreferenceScore_ON,12,1.72,0.708,lowest value 0.153846154 is an outlier,0.417
M,HFHS FOS+GOS,FaecalPellets,13,1.75,0.722,highest value 38 is an outlier,0.417
M,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_12h,12,1.72,0.708,highest value 46.4 is an outlier,0.419
M,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet,13,1.75,0.723,lowest value 11.9 is an outlier,0.42
M,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_48h,13,1.75,0.723,lowest value 11.9 is an outlier,0.42
F,HFHS 1472,SPT_TotalCumulative_SaccharinDiet_24h,13,1.75,0.723,lowest value 1.5 is an outlier,0.42
F,HFHS 1472,FPT_PreferenceScore_Percentage_OD,13,1.75,0.723,lowest value 86.36364 is an outlier,0.42
F,Control Vehicle,Rears12h,12,1.71,0.709,lowest value 2751 is an outlier,0.423
M,HFHS Vehicle,Rearing_ExternalZone10.,12,1.71,0.71,highest value 1821 is an outlier,0.427
M,HFHS Vehicle,SPT_PreferenceScore_OD,12,1.71,0.711,lowest value 0.333333333 is an outlier,0.43
M,HFHS 1472,SPT_CumulativeDrinkIntake_Water_ON,12,1.71,0.711,lowest value 2 is an outlier,0.43
M,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_ON,12,1.7,0.712,highest value 91.3 is an outlier,0.431
F,Control Vehicle,FPT_PreferenceScore_Percentage,12,1.7,0.713,highest value 99.05 is an outlier,0.434
M,HFHS FOS+GOS,SPT_CumulativeDrinkIntake_Water_OD,13,1.74,0.727,highest value 3.5 is an outlier,0.434
F,HFHS FOS+GOS,SPT_TotalCumulative_SaccharinDiet_24h,12,1.7,0.713,highest value 8.5 is an outlier,0.436
M,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_36h,13,1.74,0.728,lowest value 10.6 is an outlier,0.438
M,Control Vehicle,FPT_PreferenceScore_OD,12,1.7,0.714,lowest value 0.91 is an outlier,0.439
F,HFHS 1472,SPT_CumulativeDrinkIntake_Saccharin_OD,13,1.73,0.729,highest value 2 is an outlier,0.444
F,Control Vehicle,Rearing_ExternalZone20.,12,1.68,0.721,highest value 4738 is an outlier,0.463
F,HFHS FOS+GOS,FPT_PreferenceScore_Percentage_OD,12,1.67,0.722,lowest value 79.166667 is an outlier,0.47
F,HFHS 1472,Rearing_Centre,13,1.71,0.737,highest value 761 is an outlier,0.474
M,HFHS 1472,FPT_PreferenceScore_ON,12,1.66,0.725,lowest value 0.94 is an outlier,0.482
F,HFHS 1472,SPT_TotalCumulative_WaterDiet_36h,13,1.7,0.739,highest value 7 is an outlier,0.483
F,HFHS FOS+GOS,FPT_PreferenceScore_OD,12,1.66,0.727,lowest value 0.79 is an outlier,0.487
M,HFHS FOS+GOS,SPT_CumulativeDrinkIntake_Water_ON,13,1.7,0.74,highest value 6 is an outlier,0.487
M,HFHS 1472,SPT_TotalCumulative_WaterDiet_24h,12,1.66,0.727,lowest value 2 is an outlier,0.489
F,Control Vehicle,FPT_PreferenceScore_OD,12,1.66,0.727,lowest value 0.6 is an outlier,0.49
F,HFHS 1472,SPT_PreferenceScore_ON,13,1.69,0.741,highest value 0.7 is an outlier,0.491
F,HFHS Vehicle,Rearing_ExternalZone20.,12,1.66,0.728,highest value 4222 is an outlier,0.493
F,Control Vehicle,FPT_PreferenceScore_Percentage_OD,12,1.65,0.728,lowest value 60 is an outlier,0.494
M,Control Vehicle,SPT_CumulativeDrinkIntake_Saccharin_ON,12,1.65,0.728,highest value 8.5 is an outlier,0.494
M,Control Vehicle,TimeThigmotaxis10.,12,1.65,0.729,highest value 87.8 is an outlier,0.496
F,HFHS FOS+GOS,SPT_CumulativeDrinkIntake_Water_ON,12,1.65,0.729,lowest value 2 is an outlier,0.498
F,HFHS Vehicle,SPT_PreferenceScore_ON,12,1.65,0.731,highest value 0.769230769 is an outlier,0.504
M,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_24h,13,1.68,0.745,highest value 27.2 is an outlier,0.508
F,Control Vehicle,FPT_PreferenceScore,12,1.64,0.733,highest value 0.99 is an outlier,0.512
F,HFHS Vehicle,CentreTime.,12,1.64,0.733,highest value 10.3 is an outlier,0.513
F,HFHS Vehicle,TimeThigmotaxis20.,12,1.64,0.734,lowest value 89.7 is an outlier,0.519
M,HFHS FOS+GOS,Rearing_ExternalZone10.,13,1.66,0.75,lowest value 528 is an outlier,0.533
F,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_24h,12,1.62,0.738,highest value 17.4 is an outlier,0.536
M,Control Vehicle,SPT_PreferenceScore_ON,12,1.62,0.739,highest value 0.75 is an outlier,0.539
M,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_ON,13,1.66,0.751,lowest value 0.1 is an outlier,0.539
F,HFHS FOS+GOS,SPT_TotalCumulative_WaterDiet_24h,12,1.62,0.74,lowest value 2 is an outlier,0.54
F,HFHS FOS+GOS,SPT_TotalCumulative_SaccharinDiet_12h,12,1.61,0.743,lowest value 0.5 is an outlier,0.554
F,HFHS 1472,FPT_TotalCumulative_CTDiet_ON,13,1.64,0.758,highest value 0.7 is an outlier,0.571
M,HFHS Vehicle,TimeThigmotaxis10.,12,1.59,0.749,lowest value 56 is an outlier,0.581
F,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_36h,12,1.58,0.753,lowest value 7.3 is an outlier,0.599
F,HFHS 1472,FPT_TotalCumulative_CTDiet_OD,13,1.61,0.765,highest value 0.3 is an outlier,0.604
M,HFHS 1472,FPT_TotalCumulative_HFHSDiet_ON,12,1.58,0.754,highest value 48.3 is an outlier,0.605
M,HFHS Vehicle,DistanceThigmotaxis20.,12,1.57,0.755,lowest value 60.5 is an outlier,0.613
M,HFHS Vehicle,CentreDistance_Percentage,12,1.56,0.759,highest value 39.4 is an outlier,0.631
F,HFHS FOS+GOS,Rearing_ExternalZone10.,12,1.55,0.76,highest value 2084 is an outlier,0.637
F,HFHS 1472,SPT_TotalCumulative_SaccharinDiet_48h,13,1.59,0.771,highest value 8 is an outlier,0.638
F,HFHS FOS+GOS,Rearing_Centre,12,1.55,0.762,highest value 617 is an outlier,0.647
F,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_12h,12,1.55,0.762,lowest value 2.4 is an outlier,0.647
M,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet,13,1.58,0.775,lowest value 0.2 is an outlier,0.658
M,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_48h,13,1.58,0.775,lowest value 0.2 is an outlier,0.658
F,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_ON,12,1.53,0.766,lowest value 5.3 is an outlier,0.669
F,HFHS Vehicle,SPT_PreferenceScore_OD,12,1.52,0.77,highest value 1 is an outlier,0.689
F,HFHS 1472,SPT_PreferenceScore_OD,13,1.56,0.781,highest value 0.75 is an outlier,0.694
M,HFHS 1472,SPT_PreferenceScore_ON,12,1.51,0.773,lowest value 0.285714286 is an outlier,0.707
M,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_36h,13,1.55,0.784,lowest value 0.2 is an outlier,0.713
F,Control Vehicle,FaecalPellets,12,1.51,0.775,lowest value 16 is an outlier,0.717
F,HFHS 1472,LocomotorActivity12h,13,1.51,0.793,lowest value 13833.8 is an outlier,0.77
F,Control Vehicle,LocomotorActivity12h,12,1.47,0.785,highest value 30874.3 is an outlier,0.773
M,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_12h,13,1.51,0.795,lowest value 0.1 is an outlier,0.781
M,HFHS 1472,NumberMeals,12,1.47,0.787,highest value 10 is an outlier,0.785
F,HFHS Vehicle,Rears12h,12,1.45,0.791,highest value 4529 is an outlier,0.81
F,HFHS Vehicle,FPT_PreferenceScore_OD,12,1.43,0.796,lowest value 0.85 is an outlier,0.844
F,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_12h,12,1.43,0.796,highest value 14.9 is an outlier,0.845
M,HFHS Vehicle,SPT_PreferenceScore_ON,12,1.43,0.797,lowest value 0.4 is an outlier,0.851
M,Control Vehicle,FPT_TotalCumulative_HFHSDiet_12h,12,1.42,0.799,lowest value 3 is an outlier,0.862
F,HFHS Vehicle,FPT_PreferenceScore_Percentage_OD,12,1.42,0.799,lowest value 85 is an outlier,0.865
F,Control Vehicle,Rearing_Centre,12,1.42,0.8,highest value 662 is an outlier,0.869
F,Control Vehicle,SPT_CumulativeDrinkIntake_Saccharin_OD,12,1.41,0.802,highest value 7 is an outlier,0.885
M,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_24h,13,1.43,0.816,lowest value 0.2 is an outlier,0.931
F,HFHS 1472,SPT_CumulativeDrinkIntake_Saccharin_ON,13,1.4,0.822,highest value 7 is an outlier,0.982
F,HFHS 1472,SPT_TotalCumulative_SaccharinDiet_36h,13,1.4,0.822,highest value 7.5 is an outlier,0.982
M,HFHS 1472,FPT_TotalCumulative_HFHSDiet_12h,12,1.28,0.839,highest value 19.1 is an outlier,1
F,Control Vehicle,SPT_Ratio_OD,11,NA,NA,NA,NA
F,Control Vehicle,SPT_Ratio_ON,11,NA,NA,NA,NA
F,Control Vehicle,SPT_PreferenceScore_OD,11,NA,NA,NA,NA
F,Control Vehicle,SPT_PreferenceScore_ON,11,NA,NA,NA,NA
F,Control Vehicle,SPT_CumulativeDrinkIntake_Water_OD,11,NA,NA,NA,NA
F,Control Vehicle,SPT_CumulativeDrinkIntake_Water_ON,11,NA,NA,NA,NA
F,Control Vehicle,SPT_TotalCumulative_WaterDiet_24h,11,NA,NA,NA,NA
F,Control Vehicle,SPT_TotalCumulative_WaterDiet_36h,11,NA,NA,NA,NA
F,Control Vehicle,SPT_TotalCumulative_WaterDiet_48h,11,NA,NA,NA,NA
M,HFHS Vehicle,SPT_Ratio_OD,10,NA,NA,NA,NA
F,HFHS Vehicle,SPT_Ratio_OD,10,NA,NA,NA,NA
F,HFHS FOS+GOS,SPT_Ratio_OD,11,NA,NA,NA,NA
M,HFHS FOS+GOS,SPT_Ratio_OD,12,NA,NA,NA,NA
M,HFHS 1472,LocomotorActivity12h,11,NA,NA,NA,NA
M,HFHS 1472,Rears12h,11,NA,NA,NA,NA
M,HFHS 1472,TimeThigmotaxis20.,11,NA,NA,NA,NA
M,HFHS 1472,DistanceThigmotaxis20.,11,NA,NA,NA,NA
M,HFHS 1472,SPT_Ratio_OD,11,NA,NA,NA,NA
