"order","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj","comparison_type"
"Christensenellales","Female","week 5","fixed",NA,"dietHFHS",0.00179190890992816,0.000478861218726836,3.74202136203964,21.9999999995769,0.00112916723700183,0.00225833447400366,"diet"
"Christensenellales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Female","week 5","ran_pars","Residual","sd__Observation",0.00117296564348804,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Female","week 5","fixed",NA,"dietHFHS",-0.000475403374208299,0.000652558373050414,-0.728522372620864,6.16900425020729,0.493011234479788,0.580325437313515,"diet"
"Burkholderiales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000749456301382178,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.000474793613609166,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Female","week 5","ran_pars","Residual","sd__Observation",0.000914805956122169,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Male","week 5","fixed",NA,"dietHFHS",-0.00096138548911517,0.000492499218257957,-1.95205485303253,21.7231325679903,0.06394037758004,0.12788075516008,"diet"
"Enterobacterales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.000446975462043319,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Male","week 5","ran_pars","Residual","sd__Observation",0.00117184476667126,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Female","week 5","fixed",NA,"dietHFHS",-0.000125369399763947,0.000472657241286045,-0.265243793626924,20.3774800253109,0.793486397540712,0.793486397540712,"diet"
"Enterobacterales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00156657924077574,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Female","week 5","ran_pars","Residual","sd__Observation",0.000930935345237514,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Female","week 10","fixed",NA,"dietHFHS",-0.000412137318267173,0.000875792386623449,-0.470587920792664,6.40227395973406,0.653542239943188,0.653542239943188,"diet"
"Enterobacterales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00103392392337669,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00099786543564541,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Female","week 10","ran_pars","Residual","sd__Observation",0.00103326737669534,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Male","week 5","fixed",NA,"dietHFHS",0.000907437073308713,0.000464255056258878,1.95460891825529,20.848200540936,0.0641715405376541,0.128343081075308,"diet"
"Deferribacterales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.000849570288549309,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Male","week 5","ran_pars","Residual","sd__Observation",0.00107413483067058,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Male","week 10","fixed",NA,"dietHFHS",0.000433226019418567,0.000498116593526127,0.869728142063679,9.96501227492184,0.404911437186991,0.404911437186991,"diet"
"Christensenellales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.000541058977083059,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Male","week 10","ran_pars","Residual","sd__Observation",0.000928504664943423,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Female","week 10","fixed",NA,"dietHFHS",0.000510198192456328,0.00040060115333482,1.27358143682104,7.80964420979655,0.239407046451753,0.239407046451753,"diet"
"Christensenellales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",6.99926582844697e-06,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Female","week 10","ran_pars","cohort","sd__(Intercept)",9.03303732953455e-05,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Female","week 10","ran_pars","Residual","sd__Observation",0.000974073588178094,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Male","week 10","fixed",NA,"dietHFHS",0.000845734634592817,0.000436650663033427,1.9368678584328,6.25688693160789,0.0988946257414074,0.0988946257414074,"diet"
"Peptococcales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.000381917750385803,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.000200986605756038,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Male","week 10","ran_pars","Residual","sd__Observation",0.000898543825879345,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Male","week 10","fixed",NA,"dietHFHS",0.000962100249431067,0.000449181016617115,2.14189873088775,10.089168866355,0.0576129320578334,0.115225864115667,"diet"
"Clostridiales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00061620885991137,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Male","week 10","ran_pars","cohort","sd__(Intercept)",5.8523444381609e-08,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Male","week 10","ran_pars","Residual","sd__Observation",0.00064747228905313,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Female","week 5","fixed",NA,"dietHFHS",0.00130402971234611,0.000307537699061224,4.24022718621727,5.38586304954759,0.00692600295255364,0.0138520059051073,"diet"
"Peptococcales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",9.69389806839308e-05,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.000345372447858267,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Female","week 5","ran_pars","Residual","sd__Observation",0.000652344328369277,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Female","week 10","fixed",NA,"dietHFHS",3.19767079904551e-05,0.000352608806154162,0.0906860731563091,21.9999999997182,0.928562658025379,0.928562658025379,"diet"
"Peptococcales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Female","week 10","ran_pars","Residual","sd__Observation",0.000863711653889642,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Male","week 5","fixed",NA,"dietHFHS",0.000289750372604163,0.000306375163917301,0.945737144288805,21.9999999995775,0.354554975041357,0.354554975041357,"diet"
"Christensenellales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Christensenellales","Male","week 5","ran_pars","Residual","sd__Observation",0.000750462821458943,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Female","week 10","fixed",NA,"dietHFHS",0.000773897178893151,0.000380098115488265,2.03604581911442,8.60334811663591,0.0736677796305386,0.147335559261077,"diet"
"Clostridiales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00036757475749099,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Female","week 10","ran_pars","Residual","sd__Observation",0.000707114224267357,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Male","week 5","fixed",NA,"dietHFHS",0.00101677460417995,0.000342559081105722,2.96817296712138,8.33157617497968,0.0171310492431006,0.0342620984862013,"diet"
"Peptococcales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000266755602222383,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Male","week 5","ran_pars","cohort","sd__(Intercept)",2.89132676945771e-12,NA,NA,NA,NA,NA,"diet"
"Peptococcales","Male","week 5","ran_pars","Residual","sd__Observation",0.000740402008108681,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Female","week 5","fixed",NA,"dietHFHS",0.000680283562779144,0.000291700323522604,2.33213167048966,20.729903182479,0.0298653435715052,0.0597306871430105,"diet"
"Staphylococcales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.000292855129042002,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Female","week 5","ran_pars","Residual","sd__Observation",0.000645205471356629,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Male","week 5","fixed",NA,"dietHFHS",-0.000143630112636118,0.000226152379291174,-0.63510325686732,10.0564570153012,0.539541838694575,0.539541838694575,"diet"
"Staphylococcales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000365488034761002,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Male","week 5","ran_pars","Residual","sd__Observation",0.000189354831246916,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Female","week 10","fixed",NA,"dietHFHS",0.000131811071388099,0.000129461226306403,1.01815095645807,21.8639768284696,0.319741096837897,0.319741096837897,"diet"
"Rickettsiales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.000250081052047653,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Female","week 10","ran_pars","Residual","sd__Observation",0.000264203305887246,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Male","week 10","fixed",NA,"dietHFHS",4.63914207966976e-05,0.000151668605287269,0.305873590047391,8.94086399632968,0.766703004902795,0.766703004902795,"diet"
"Rickettsiales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.000218812127841119,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Male","week 10","ran_pars","cohort","sd__(Intercept)",2.45375633559684e-11,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Male","week 10","ran_pars","Residual","sd__Observation",0.000197407510539801,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Female","week 10","fixed",NA,"dietHFHS",-0.000127106853054452,0.000143772444596819,-0.884083548908819,7.5332743705131,0.403982861551535,0.403982861551535,"diet"
"Saccharimonadales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.000197863625613799,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Female","week 10","ran_pars","Residual","sd__Observation",0.000151369792867186,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Male","week 5","fixed",NA,"dietHFHS",1.36090231323947e-05,7.82514438488176e-05,0.173914019512374,8.30247087173209,0.866099037489001,0.866099037489001,"diet"
"Saccharimonadales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",2.09835608213269e-05,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Male","week 5","ran_pars","Residual","sd__Observation",0.000189082802698138,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Female","week 10","fixed",NA,"dietHFHS",-3.32907135687885e-05,8.9474485312023e-05,-0.372069349744727,6.2304902404416,0.722169336858886,0.722169336858886,"diet"
"Monoglobales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",9.6440458189114e-05,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Female","week 10","ran_pars","cohort","sd__(Intercept)",6.63213846812087e-05,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Female","week 10","ran_pars","Residual","sd__Observation",0.000136454851683183,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Male","week 10","fixed",NA,"dietHFHS",-0.000252176720609821,0.000126443395994977,-1.99438427468239,8.66777461545128,0.0784658063128173,0.0784658063128173,"diet"
"Saccharimonadales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.000181781175691783,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.000140000645230448,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Male","week 10","ran_pars","Residual","sd__Observation",0.000152620490832083,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Male","week 5","fixed",NA,"dietHFHS",1.98674827387867e-05,8.45199230054747e-05,0.23506271695846,9.7845995783925,0.819006266086433,0.819006266086433,"diet"
"Rickettsiales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000117565600917601,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Male","week 5","ran_pars","Residual","sd__Observation",0.000118795556269357,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Female","week 5","fixed",NA,"dietHFHS",3.95427144583477e-05,5.07913371818162e-05,0.778532652463901,22.0000000002979,0.444548564994163,0.444548564994163,"diet"
"Rickettsiales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Rickettsiales","Female","week 5","ran_pars","Residual","sd__Observation",0.000124412859449101,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Female","week 5","fixed",NA,"dietHFHS",-6.0526954111551e-05,8.08495328663624e-05,-0.748637029376497,6.76982627398126,0.479272080518015,0.479272080518015,"diet"
"Saccharimonadales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",9.67609191776866e-05,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Female","week 5","ran_pars","cohort","sd__(Intercept)",3.01148004584719e-05,NA,NA,NA,NA,NA,"diet"
"Saccharimonadales","Female","week 5","ran_pars","Residual","sd__Observation",0.000115580171074726,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Male","week 10","fixed",NA,"dietHFHS",3.85354208867938e-06,4.29063116762053e-05,0.0898129421554649,10.084805303914,0.93019458068871,0.93019458068871,"diet"
"Enterobacterales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",1.47791305464998e-05,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Male","week 10","ran_pars","cohort","sd__(Intercept)",9.90750010102814e-06,NA,NA,NA,NA,NA,"diet"
"Enterobacterales","Male","week 10","ran_pars","Residual","sd__Observation",0.000102449551036695,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Male","week 10","fixed",NA,"dietHFHS",1.70811486633831e-05,4.16383087477087e-05,0.410226764177186,21.9999999999398,0.68560716763978,0.68560716763978,"diet"
"Monoglobales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Male","week 10","ran_pars","Residual","sd__Observation",0.000101992610184351,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Female","week 5","fixed",NA,"dietHFHS",-4.25147604292436e-05,4.55859601550441e-05,-0.932628385683775,5.82417708836358,0.38804064593246,0.38804064593246,"diet"
"Monoglobales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",5.1746041831847e-05,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Female","week 5","ran_pars","cohort","sd__(Intercept)",8.87458818745047e-06,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Female","week 5","ran_pars","Residual","sd__Observation",7.22653695862858e-05,NA,NA,NA,NA,NA,"diet"
"Acholeplasmatales","Male","week 5","fixed",NA,"dietHFHS",-2.55222345264038e-05,2.58518811673473e-05,-0.987248640096646,9.21165135815565,0.348741401787128,0.405290491616853,"diet"
"Acholeplasmatales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",1.43446025779863e-05,NA,NA,NA,NA,NA,"diet"
"Acholeplasmatales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Acholeplasmatales","Male","week 5","ran_pars","Residual","sd__Observation",5.96098030392336e-05,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Male","week 5","fixed",NA,"dietHFHS",-1.25399920664922e-05,1.20417591856613e-05,-1.04137542307142,21.9655846289329,0.30902845593668,0.30902845593668,"diet"
"Monoglobales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",1.41071614917167e-09,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Male","week 5","ran_pars","cohort","sd__(Intercept)",3.71166689377308e-06,NA,NA,NA,NA,NA,"diet"
"Monoglobales","Male","week 5","ran_pars","Residual","sd__Observation",2.93507898166097e-05,NA,NA,NA,NA,NA,"diet"
"Chlamydiales","Female","week 10","fixed",NA,"dietHFHS",-4.61271323415361e-06,8.63991678895077e-06,-0.533883988333385,3.89074405403977,0.622461537744462,0.622461537744462,"diet"
"Chlamydiales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",2.98591625325845e-06,NA,NA,NA,NA,NA,"diet"
"Chlamydiales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Chlamydiales","Female","week 10","ran_pars","Residual","sd__Observation",2.05612488872226e-05,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Female","week 10","fixed",NA,"dietHFHS",7.74326397852291e-06,7.78883450368093e-06,0.994149249783586,9.02579789602257,0.346053351147877,0.692106702295755,"diet"
"Staphylococcales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",2.41032234540441e-06,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Female","week 10","ran_pars","Residual","sd__Observation",1.86442136694311e-05,NA,NA,NA,NA,NA,"diet"
"Reyranellales","Female","week 10","fixed",NA,"dietHFHS",-9.40049472144143e-06,1.17297344872863e-05,-0.801424340135792,1.70272503929841,0.519341438374719,0.70272370396356,"diet"
"Reyranellales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",1.77814925129751e-05,NA,NA,NA,NA,NA,"diet"
"Reyranellales","Female","week 10","ran_pars","cohort","sd__(Intercept)",2.07136887105276e-09,NA,NA,NA,NA,NA,"diet"
"Reyranellales","Female","week 10","ran_pars","Residual","sd__Observation",5.43469611637691e-06,NA,NA,NA,NA,NA,"diet"
"Corynebacteriales","Male","week 5","fixed",NA,"dietHFHS",-3.29003645360391e-06,3.29003645360391e-06,-1,5.9416629534106,0.35627935575202,0.414994610712133,"diet"
"Corynebacteriales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Corynebacteriales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Corynebacteriales","Male","week 5","ran_pars","Residual","sd__Observation",8.05891054648551e-06,NA,NA,NA,NA,NA,"diet"
"Eubacteriales","Female","week 10","fixed",NA,"dietHFHS",2.92343743076242e-06,2.94064239490169e-06,0.994149249779877,2.58186506264642,0.40398797201339,0.80797594402678,"diet"
"Eubacteriales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",9.10007276810717e-07,NA,NA,NA,NA,NA,"diet"
"Eubacteriales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Eubacteriales","Female","week 10","ran_pars","Residual","sd__Observation",7.03904609981337e-06,NA,NA,NA,NA,NA,"diet"
"Chlamydiales","Male","week 10","fixed",NA,"dietHFHS",3.11776241477159e-06,2.71953185538075e-06,1.14643349685459,2.10078665255318,0.365396200179931,0.730792400359863,"diet"
"Chlamydiales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Chlamydiales","Male","week 10","ran_pars","cohort","sd__(Intercept)",1.95321372145732e-06,NA,NA,NA,NA,NA,"diet"
"Chlamydiales","Male","week 10","ran_pars","Residual","sd__Observation",6.52298732227151e-06,NA,NA,NA,NA,NA,"diet"
"Rhizobiales","Male","week 10","fixed",NA,"dietHFHS",7.55648853000606e-07,7.68503772990196e-07,0.98327279521404,0.76707372882,0.5417672835805,1,"diet"
"Rhizobiales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",2.94998172216915e-07,NA,NA,NA,NA,NA,"diet"
"Rhizobiales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Rhizobiales","Male","week 10","ran_pars","Residual","sd__Observation",1.8300544328778e-06,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Female","week 10","fixed",NA,"treatmentFOS+GOS",0.0590531963033349,0.0667124768900327,0.885189683493191,9.90339164671894,0.397037637119853,0.397037637119853,"treatment"
"Bacteroidales","Female","week 10","fixed",NA,"treatmentB. longum APC1472",0.0939137818105473,0.0644828983062532,1.45641378221735,10.4010476421838,0.174793007050195,0.349586014100389,"treatment"
"Bacteroidales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0675634848884985,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Female","week 10","ran_pars","cohort","sd__(Intercept)",1.50970009707334e-06,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Female","week 10","ran_pars","Residual","sd__Observation",0.114337193886711,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Male","week 10","fixed",NA,"treatmentFOS+GOS",-0.0481973641821977,0.0435149479665378,-1.10760477570284,30.785467987549,0.276611717983679,0.553223435967358,"treatment"
"Bacteroidales","Male","week 10","fixed",NA,"treatmentB. longum APC1472",0.0259409415092758,0.0454724308333658,0.570476243162295,32.1710302881457,0.57231801681148,0.57231801681148,"treatment"
"Bacteroidales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.109161516866969,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Male","week 10","ran_pars","Residual","sd__Observation",0.103238216428191,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.192416473718308,0.0383145489725767,5.02202110890118,33.9999999993555,1.60852817326889e-05,3.21705634653778e-05,"treatment"
"Bacteroidales","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.046529847109636,0.0375705063203221,1.23846739548644,33.9999999995949,0.224025745172561,0.224025745172561,"treatment"
"Bacteroidales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Female","week 5","ran_pars","Residual","sd__Observation",0.0938510947076903,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Male","week 5","fixed",NA,"treatmentFOS+GOS",-0.059690871549246,0.0453947281979001,-1.31492959466618,9.35154945488015,0.219863712424366,0.439727424848732,"treatment"
"Bacteroidales","Male","week 5","fixed",NA,"treatmentB. longum APC1472",-0.0147569783659231,0.0467925091021554,-0.315370529366279,10.3694950625213,0.758735866810072,0.758735866810072,"treatment"
"Bacteroidales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0442826623542454,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0823175272354968,NA,NA,NA,NA,NA,"treatment"
"Bacteroidales","Male","week 5","ran_pars","Residual","sd__Observation",0.0852876182954181,NA,NA,NA,NA,NA,"treatment"
"Lachnospirales","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.0375084082084818,0.0499209932417478,0.751355407270109,9.4114081721978,0.470809047130339,0.664197867347114,"treatment"
"Lachnospirales","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.0510033449041797,0.0501616487441643,1.0167796749327,10.5074416889876,0.332098933673557,0.664197867347114,"treatment"
"Lachnospirales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0418834898238897,NA,NA,NA,NA,NA,"treatment"
"Lachnospirales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0597622104896783,NA,NA,NA,NA,NA,"treatment"
"Lachnospirales","Female","week 5","ran_pars","Residual","sd__Observation",0.0870399657086225,NA,NA,NA,NA,NA,"treatment"
"Lactobacillales","Female","week 10","fixed",NA,"treatmentFOS+GOS",-0.0990718275382055,0.033082075351317,-2.99472830788597,33.9999999988367,0.00509431220971923,0.0101886244194385,"treatment"
"Lactobacillales","Female","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0517018779459867,0.0324396438012523,-1.59378685730177,33.999999998997,0.12023908986262,0.12023908986262,"treatment"
"Lactobacillales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Lactobacillales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Lactobacillales","Female","week 10","ran_pars","Residual","sd__Observation",0.0810342042430311,NA,NA,NA,NA,NA,"treatment"
"Verrucomicrobiales","Male","week 5","fixed",NA,"treatmentFOS+GOS",-0.0307477273127893,0.0604564726519972,-0.508592810066525,10.4198032925066,0.621632551669938,1,"treatment"
"Verrucomicrobiales","Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.0120914187882263,0.0609143082755768,0.198498827788122,11.0631536243009,0.846255476207321,1,"treatment"
"Verrucomicrobiales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0788536284963316,NA,NA,NA,NA,NA,"treatment"
"Verrucomicrobiales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0479678840252603,NA,NA,NA,NA,NA,"treatment"
"Verrucomicrobiales","Male","week 5","ran_pars","Residual","sd__Observation",0.0867509367808492,NA,NA,NA,NA,NA,"treatment"
"Lachnospirales","Male","week 5","fixed",NA,"treatmentFOS+GOS",0.108196802490557,0.0438268286850001,2.46873446555323,8.86200199007094,0.0360322908605654,0.0720645817211309,"treatment"
"Lachnospirales","Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.00518901024602153,0.0444410965407878,0.116761525928126,10.1155675525579,0.909334732925799,0.909334732925799,"treatment"
"Lachnospirales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0585865240973652,NA,NA,NA,NA,NA,"treatment"
"Lachnospirales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0526083612583211,NA,NA,NA,NA,NA,"treatment"
"Lachnospirales","Male","week 5","ran_pars","Residual","sd__Observation",0.0579804992730391,NA,NA,NA,NA,NA,"treatment"
"Verrucomicrobiales","Male","week 10","fixed",NA,"treatmentFOS+GOS",0.0832841072346891,0.0522001409400725,1.59547667371822,10.8521206309706,0.139291346307503,0.417874038922509,"treatment"
"Verrucomicrobiales","Male","week 10","fixed",NA,"treatmentB. longum APC1472",-0.00314533488268126,0.0528041500286848,-0.0595660545804187,11.5471429891321,0.953519697905226,0.953519697905226,"treatment"
"Verrucomicrobiales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.077442087624288,NA,NA,NA,NA,NA,"treatment"
"Verrucomicrobiales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0631210133502741,NA,NA,NA,NA,NA,"treatment"
