"genus","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj"
"Limosilactobacillus","fixed",NA,"treatmentFOS+GOS",0.000428994387773077,0.000715494799548404,0.599577226897867,15.5281913003165,0.557436159908074,1
"Limosilactobacillus","fixed",NA,"treatmentB. longum APC1472",-0.000285426648346996,0.000699123284590273,-0.408263684872508,17.5109009684514,0.688029002245018,1
"Limosilactobacillus","ran_pars","dam_cage","sd__(Intercept)",0.000901220779831416,NA,NA,NA,NA,NA
"Limosilactobacillus","ran_pars","cohort","sd__(Intercept)",0.000435318730421843,NA,NA,NA,NA,NA
"Limosilactobacillus","ran_pars","Residual","sd__Observation",0.00213898749765629,NA,NA,NA,NA,NA
"Lachnospiraceae FCS020 group","fixed",NA,"dietHFHS",0.00128795285833972,0.00089756928953825,1.43493418653205,21.4394704938534,0.165733929246304,0.497201787738913
"Lachnospiraceae FCS020 group","fixed",NA,"treatmentFOS+GOS",0.000234788589399776,0.000907059799963933,0.258845766738986,17.962541796506,0.79869719404049,0.79869719404049
"Lachnospiraceae FCS020 group","fixed",NA,"treatmentB. longum APC1472",-0.000903005605138308,0.00090454181405442,-0.998301671750003,22.049842774201,0.328963254735137,0.657926509470273
"Lachnospiraceae FCS020 group","ran_pars","dam_cage","sd__(Intercept)",0.0010373077046392,NA,NA,NA,NA,NA
"Lachnospiraceae FCS020 group","ran_pars","cohort","sd__(Intercept)",0.00109642340266545,NA,NA,NA,NA,NA
"Lachnospiraceae FCS020 group","ran_pars","Residual","sd__Observation",0.0030007907073009,NA,NA,NA,NA,NA
"UBA1819","fixed",NA,"dietHFHS",0.000832322163874418,0.000763547731979138,1.09007221030834,18.1008403982235,0.28998089460404,0.57996178920808
"UBA1819","fixed",NA,"treatmentFOS+GOS",-0.00358757723353046,0.000776624484423973,-4.61944904581702,15.449096138025,0.00031006959446976,0.0011200694540024
"UBA1819","fixed",NA,"treatmentB. longum APC1472",0.000173634288609862,0.000763613993667329,0.227384896099097,18.3087458217064,0.822644267807491,0.822644267807491
"UBA1819","ran_pars","dam_cage","sd__(Intercept)",0.000902680095070967,NA,NA,NA,NA,NA
"UBA1819","ran_pars","cohort","sd__(Intercept)",0.000539463118733367,NA,NA,NA,NA,NA
"UBA1819","ran_pars","Residual","sd__Observation",0.00256533309929631,NA,NA,NA,NA,NA
"Anaerotruncus","fixed",NA,"dietHFHS",0.00116353063468021,0.00058266106625421,1.99692531742385,12.4109091246325,0.0682437988762845,0.136487597752569
"Anaerotruncus","fixed",NA,"treatmentFOS+GOS",-0.00214430664972384,0.000590913417107491,-3.62880007060963,10.4305255027643,0.00431697961553596,0.0172679184621438
"Anaerotruncus","fixed",NA,"treatmentB. longum APC1472",0.00025475683043497,0.000583265069873689,0.436777108031071,12.5424393021306,0.66969799456697,0.66969799456697
"Anaerotruncus","ran_pars","dam_cage","sd__(Intercept)",0.000665658430819493,NA,NA,NA,NA,NA
"Anaerotruncus","ran_pars","cohort","sd__(Intercept)",0.00046946861619721,NA,NA,NA,NA,NA
"Anaerotruncus","ran_pars","Residual","sd__Observation",0.0020075322616864,NA,NA,NA,NA,NA
"ASF356","fixed",NA,"dietHFHS",-4.89010108706973e-05,0.000336023340482858,-0.145528613579127,21.4328997838392,0.88565349272255,1
"ASF356","fixed",NA,"treatmentFOS+GOS",0.0014525110899649,0.00034276164014432,4.23767108056001,19.1733641158498,0.000437599506888469,0.00175039802755388
"ASF356","fixed",NA,"treatmentB. longum APC1472",8.63664654609775e-05,0.000335256157791673,0.257613360571427,21.1715524703117,0.799192716413608,1
"ASF356","ran_pars","dam_cage","sd__(Intercept)",0.000410306117023431,NA,NA,NA,NA,NA
"ASF356","ran_pars","cohort","sd__(Intercept)",0.000135521966091068,NA,NA,NA,NA,NA
"ASF356","ran_pars","Residual","sd__Observation",0.00111289500129179,NA,NA,NA,NA,NA
"Tuzzerella","fixed",NA,"dietHFHS",0.0013578190270023,0.00047927608449859,2.83306234322714,17.4912393194999,0.0112482762967084,0.0224965525934168
"Tuzzerella","fixed",NA,"treatmentFOS+GOS",-0.00337780701395672,0.000471482478707705,-7.16422596066564,13.4105757629066,6.15172159157685e-06,2.46068863663074e-05
"Tuzzerella","fixed",NA,"treatmentB. longum APC1472",0.000535814715308897,0.000483238475400542,1.10879978020123,17.4843217231979,0.282535924024532,0.282535924024532
"Tuzzerella","ran_pars","dam_cage","sd__(Intercept)",0.000297487303510335,NA,NA,NA,NA,NA
"Tuzzerella","ran_pars","cohort","sd__(Intercept)",0.000695771438596761,NA,NA,NA,NA,NA
"Tuzzerella","ran_pars","Residual","sd__Observation",0.00205465538779536,NA,NA,NA,NA,NA
"UCG-009","fixed",NA,"dietHFHS",0.00133483554526901,0.000469235864330162,2.84470060099626,17.2454039188282,0.0110841104884915,0.0267738578107058
"UCG-009","fixed",NA,"treatmentFOS+GOS",-0.0024394838080308,0.000474701217592152,-5.13898788885503,14.5240361371787,0.00013404103718385,0.000536164148735399
"UCG-009","fixed",NA,"treatmentB. longum APC1472",0.000736759390623417,0.000473713336393035,1.55528530446974,17.8314046593237,0.137447668788336,0.137447668788336
"UCG-009","ran_pars","dam_cage","sd__(Intercept)",0.00055791171219956,NA,NA,NA,NA,NA
"UCG-009","ran_pars","cohort","sd__(Intercept)",0.000617792613835006,NA,NA,NA,NA,NA
"UCG-009","ran_pars","Residual","sd__Observation",0.00152115626657148,NA,NA,NA,NA,NA
"Staphylococcus","fixed",NA,"dietHFHS",0.00039504368977893,0.000164693701447646,2.39865693895105,191.999999993961,0.0174123727982579,0.0522371183947736
"Staphylococcus","fixed",NA,"treatmentFOS+GOS",-0.000458129698777297,0.000163038446357281,-2.80994887410394,191.999999995122,0.00546813933536321,0.0218725573414528
"Staphylococcus","fixed",NA,"treatmentB. longum APC1472",-0.000365070545489485,0.000163038446357281,-2.23916845165142,191.999999995122,0.0262924570720855,0.0525849141441711
"Staphylococcus","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Staphylococcus","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Staphylococcus","ran_pars","Residual","sd__Observation",0.000806831064794009,NA,NA,NA,NA,NA
"Marvinbryantia","fixed",NA,"dietHFHS",-3.53350231804534e-05,0.000341628790430996,-0.103431046124289,19.5433411383462,0.918674893445655,1
"Marvinbryantia","fixed",NA,"treatmentFOS+GOS",-0.000978277564165148,0.00034168254299787,-2.86311836590155,16.6340293166536,0.0109461365369129,0.0328384096107386
"Marvinbryantia","fixed",NA,"treatmentB. longum APC1472",-0.000161877526693901,0.000339006593994447,-0.477505539896821,18.7701118355197,0.638515359255791,1
"Marvinbryantia","ran_pars","dam_cage","sd__(Intercept)",0.000251321895921676,NA,NA,NA,NA,NA
"Marvinbryantia","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Marvinbryantia","ran_pars","Residual","sd__Observation",0.00149655074514645,NA,NA,NA,NA,NA
"Muribaculum","fixed",NA,"dietHFHS",-0.000124986785556992,0.000205489579189629,-0.608239045745732,23.6583768704656,0.548824366025679,1
"Muribaculum","fixed",NA,"treatmentFOS+GOS",0.00135750327268007,0.0002080591217012,6.52460349529697,20.937021269845,1.85943536665646e-06,7.43774146662583e-06
"Muribaculum","fixed",NA,"treatmentB. longum APC1472",-2.487028687997e-05,0.00020452398853073,-0.121600830585373,22.967471150429,0.90427281759875,1
"Muribaculum","ran_pars","dam_cage","sd__(Intercept)",0.000223284763749662,NA,NA,NA,NA,NA
"Muribaculum","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Muribaculum","ran_pars","Residual","sd__Observation",0.000762799929490132,NA,NA,NA,NA,NA
"Enterococcus","fixed",NA,"dietHFHS",-0.000382488054679094,0.000151344897211137,-2.52726098948349,21.8325673901426,0.0192519185451773,0.0577557556355318
"Enterococcus","fixed",NA,"treatmentFOS+GOS",-1.01085888917334e-05,0.000153180068171812,-0.0659915419308685,19.2750458723278,0.948064232956824,0.948064232956824
"Enterococcus","fixed",NA,"treatmentB. longum APC1472",0.000109798150640151,0.000150620313212345,0.728973060130061,21.1801149625828,0.474002588861302,0.948005177722603
"Enterococcus","ran_pars","dam_cage","sd__(Intercept)",0.000163093852739392,NA,NA,NA,NA,NA
"Enterococcus","ran_pars","cohort","sd__(Intercept)",1.0238697265209e-08,NA,NA,NA,NA,NA
"Enterococcus","ran_pars","Residual","sd__Observation",0.000565057848592909,NA,NA,NA,NA,NA
"Parvibacter","fixed",NA,"dietHFHS",0.000181994096341278,0.000253078984231771,0.719119751858206,17.8041206019709,0.481400084902601,1
"Parvibacter","fixed",NA,"treatmentFOS+GOS",0.000828061616097668,0.000257817458211739,3.21181359028682,15.4629313941223,0.00563752303961541,0.0225500921584616
"Parvibacter","fixed",NA,"treatmentB. longum APC1472",-0.000251469033053499,0.000253868167565947,-0.990549683580063,17.9436412837737,0.335075864627101,1
"Parvibacter","ran_pars","dam_cage","sd__(Intercept)",0.000313712253961692,NA,NA,NA,NA,NA
"Parvibacter","ran_pars","cohort","sd__(Intercept)",0.000226911677130193,NA,NA,NA,NA,NA
"Parvibacter","ran_pars","Residual","sd__Observation",0.000799619114218864,NA,NA,NA,NA,NA
"Escherichia-Shigella","fixed",NA,"dietHFHS",-0.000627000392721705,0.000296153250121672,-2.11714844413865,17.2483606937885,0.0490704457699787,0.147211337309936
"Escherichia-Shigella","fixed",NA,"treatmentFOS+GOS",-6.31837061691901e-05,0.000304103451982833,-0.207770433900753,15.4025628749014,0.838130465741271,1
"Escherichia-Shigella","fixed",NA,"treatmentB. longum APC1472",-1.70939752907882e-05,0.000297497511837944,-0.0574592210374512,17.6439151397627,0.954825117711069,1
"Escherichia-Shigella","ran_pars","dam_cage","sd__(Intercept)",0.000407463554357208,NA,NA,NA,NA,NA
"Escherichia-Shigella","ran_pars","cohort","sd__(Intercept)",0.000278303760707378,NA,NA,NA,NA,NA
"Escherichia-Shigella","ran_pars","Residual","sd__Observation",0.000798458725718772,NA,NA,NA,NA,NA
"Lachnospiraceae UCG-001","fixed",NA,"dietHFHS",1.09256865225767e-20,9.21120645669944e-05,1.18612980546433e-16,26.1494001991917,1,1
"Lachnospiraceae UCG-001","fixed",NA,"treatmentFOS+GOS",0.000158116877549125,9.27450996210922e-05,1.70485425316386,22.8048815485294,0.101809334353482,0.407237337413927
"Lachnospiraceae UCG-001","fixed",NA,"treatmentB. longum APC1472",0,9.15553923320524e-05,0,25.2665741715847,1,1
"Lachnospiraceae UCG-001","ran_pars","dam_cage","sd__(Intercept)",8.69365312150556e-05,NA,NA,NA,NA,NA
"Lachnospiraceae UCG-001","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Lachnospiraceae UCG-001","ran_pars","Residual","sd__Observation",0.000370693890828603,NA,NA,NA,NA,NA
"Peptococcus","fixed",NA,"dietHFHS",0.000538654721095113,0.000121043443318829,4.45009416723461,130.000755233193,1.82603044288496e-05,3.65206088576992e-05
"Peptococcus","fixed",NA,"treatmentFOS+GOS",-0.000989177765252284,0.000119838256904994,-8.25427364181783,124.011732534746,1.91429873545315e-13,7.65719494181259e-13
"Peptococcus","fixed",NA,"treatmentB. longum APC1472",5.57124159418005e-05,0.000119828435621235,0.464934851673284,128.556838750441,0.642764648900425,0.642764648900425
"Peptococcus","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Peptococcus","ran_pars","cohort","sd__(Intercept)",1.51084033165853e-05,NA,NA,NA,NA,NA
"Peptococcus","ran_pars","Residual","sd__Observation",0.00059221726858955,NA,NA,NA,NA,NA
"UCG-003","fixed",NA,"dietHFHS",-0.00020641250668542,0.000134143915684422,-1.53873923861752,16.5906107649191,0.142721778964177,0.42816533689253
"UCG-003","fixed",NA,"treatmentFOS+GOS",-7.75381419466393e-05,0.000136133944201797,-0.569572433982383,13.9676963634451,0.578013640909336,0.578013640909336
"UCG-003","fixed",NA,"treatmentB. longum APC1472",0.000203681796787081,0.000134264470066294,1.51701933271335,16.8239267055905,0.147827013070901,0.42816533689253
"UCG-003","ran_pars","dam_cage","sd__(Intercept)",0.000154569062577427,NA,NA,NA,NA,NA
"UCG-003","ran_pars","cohort","sd__(Intercept)",0.000105925267826105,NA,NA,NA,NA,NA
"UCG-003","ran_pars","Residual","sd__Observation",0.000459193203249051,NA,NA,NA,NA,NA
"Christensenella","fixed",NA,"dietHFHS",-0.000104145723170074,0.000135336289696348,-0.769532868115005,20.0256665866893,0.450559299397741,0.706451612283742
"Christensenella","fixed",NA,"treatmentFOS+GOS",-0.000364239068243526,0.000140234064158854,-2.59736512970859,19.1187537145946,0.0176270403727754,0.0528811211183262
"Christensenella","fixed",NA,"treatmentB. longum APC1472",-0.000128586685312236,0.000135277962951099,-0.950536824380761,19.9290077869214,0.353225806141871,0.706451612283742
"Christensenella","ran_pars","dam_cage","sd__(Intercept)",0.000208566660633918,NA,NA,NA,NA,NA
"Christensenella","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Christensenella","ran_pars","Residual","sd__Observation",0.000286113813089683,NA,NA,NA,NA,NA
"Butyricicoccus","fixed",NA,"dietHFHS",8.85064966252524e-05,0.000146384753010896,0.604615540927714,17.8856128457532,0.553028175465815,1
"Butyricicoccus","fixed",NA,"treatmentFOS+GOS",-0.000467031834278826,0.000149836391904318,-3.11694527840114,16.3370425170191,0.00650990758277396,0.0195297227483219
"Butyricicoccus","fixed",NA,"treatmentB. longum APC1472",-9.23040173673168e-05,0.000146045892352061,-0.63202063324593,17.5655727138393,0.535513570551798,1
"Butyricicoccus","ran_pars","dam_cage","sd__(Intercept)",0.000193287437954648,NA,NA,NA,NA,NA
"Butyricicoccus","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Butyricicoccus","ran_pars","Residual","sd__Observation",0.000445557793590576,NA,NA,NA,NA,NA
"Harryflintia","fixed",NA,"dietHFHS",8.7737270813399e-06,9.0315828612969e-05,0.0971449547225881,18.5502317447942,0.923653195434908,1
"Harryflintia","fixed",NA,"treatmentFOS+GOS",-0.000378245467286502,8.9618316694119e-05,-4.22062677853582,14.295533628085,0.000819036841560115,0.00245711052468034
"Harryflintia","fixed",NA,"treatmentB. longum APC1472",3.6596782738203e-05,8.99838763460126e-05,0.406703780991589,18.2718355703266,0.688949933124244,1
"Harryflintia","ran_pars","dam_cage","sd__(Intercept)",5.28817997698476e-05,NA,NA,NA,NA,NA
"Harryflintia","ran_pars","cohort","sd__(Intercept)",7.17085237769662e-05,NA,NA,NA,NA,NA
"Harryflintia","ran_pars","Residual","sd__Observation",0.00040011515434765,NA,NA,NA,NA,NA
"NK4A214 group","fixed",NA,"dietHFHS",0.000276547430545648,0.000157077285359364,1.76058193209131,19.3823046735123,0.0940804226931226,0.37632169077249
"NK4A214 group","fixed",NA,"treatmentFOS+GOS",-0.000127183399554375,0.000163005963647815,-0.780237708536625,18.6045551782636,0.445064960913865,0.89012992182773
"NK4A214 group","fixed",NA,"treatmentB. longum APC1472",-8.05749467056033e-05,0.000157032187307291,-0.513111025753776,19.311607174758,0.613693661703407,0.89012992182773
"NK4A214 group","ran_pars","dam_cage","sd__(Intercept)",0.000245978733233473,NA,NA,NA,NA,NA
"NK4A214 group","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"NK4A214 group","ran_pars","Residual","sd__Observation",0.000310285307605004,NA,NA,NA,NA,NA
"Lachnospiraceae UCG-004","fixed",NA,"dietHFHS",-2.2819714208319e-05,3.10065448157199e-05,-0.735964434087791,14.9196277083131,0.473165385012527,1
"Lachnospiraceae UCG-004","fixed",NA,"treatmentFOS+GOS",-2.27999274349092e-05,3.0769309780629e-05,-0.740995738853494,12.123891920019,0.472804675240592,1
"Lachnospiraceae UCG-004","fixed",NA,"treatmentB. longum APC1472",-8.39055778493929e-06,3.07153477739961e-05,-0.273171505225242,14.2972541500965,0.788627731810899,1
"Lachnospiraceae UCG-004","ran_pars","dam_cage","sd__(Intercept)",1.05464763307787e-05,NA,NA,NA,NA,NA
"Lachnospiraceae UCG-004","ran_pars","cohort","sd__(Intercept)",8.11260049003557e-06,NA,NA,NA,NA,NA
"Lachnospiraceae UCG-004","ran_pars","Residual","sd__Observation",0.000147751675042405,NA,NA,NA,NA,NA
"Christensenellaceae R-7 group","fixed",NA,"dietHFHS",1.23402568103178e-05,7.17195066057574e-05,0.172062767778818,20.3837431288314,0.865085016331612,1
"Christensenellaceae R-7 group","fixed",NA,"treatmentFOS+GOS",-6.68866539510918e-05,7.40481660463561e-05,-0.903285760098624,19.2102530215105,0.377562153259163,1
"Christensenellaceae R-7 group","fixed",NA,"treatmentB. longum APC1472",-3.88607532200045e-05,7.16576260560443e-05,-0.542311479724588,20.2181244086838,0.593531751761115,1
"Christensenellaceae R-7 group","ran_pars","dam_cage","sd__(Intercept)",0.000106123485443934,NA,NA,NA,NA,NA
"Christensenellaceae R-7 group","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Christensenellaceae R-7 group","ran_pars","Residual","sd__Observation",0.000173438278415187,NA,NA,NA,NA,NA
"Anaerovorax","fixed",NA,"dietHFHS",9.43131185897652e-05,4.10676590778126e-05,2.29653018232829,185.658595170333,0.0227620284093403,0.0455240568186806
"Anaerovorax","fixed",NA,"treatmentFOS+GOS",-0.000192225346966912,4.00123464035882e-05,-4.80415082454833,191.995866991262,3.12453131791851e-06,1.2498125271674e-05
"Anaerovorax","fixed",NA,"treatmentB. longum APC1472",-3.18603641604389e-05,4.13031367767438e-05,-0.771378801872941,162.398096163838,0.441603365295381,0.441603365295381
"Anaerovorax","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Anaerovorax","ran_pars","cohort","sd__(Intercept)",5.80267785081889e-05,NA,NA,NA,NA,NA
"Anaerovorax","ran_pars","Residual","sd__Observation",0.000190576320926603,NA,NA,NA,NA,NA
"Family XIII AD3011 group","fixed",NA,"dietHFHS",0.000185184502819495,3.59273778956758e-05,5.15441186265318,192.00000000264,6.2957448197531e-07,1.88872344592593e-06
"Family XIII AD3011 group","fixed",NA,"treatmentFOS+GOS",-0.000218165889174381,3.55662895563976e-05,-6.13406379736168,192.00000000275,4.79167738094803e-09,1.91667095237921e-08
"Family XIII AD3011 group","fixed",NA,"treatmentB. longum APC1472",-9.56964127126716e-05,3.55662895563976e-05,-2.69064931726784,192.00000000275,0.00776010841641652,0.015520216832833
"Family XIII AD3011 group","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Family XIII AD3011 group","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Family XIII AD3011 group","ran_pars","Residual","sd__Observation",0.000176007487281106,NA,NA,NA,NA,NA
"[Eubacterium] brachy group","fixed",NA,"dietHFHS",-1.47455181120079e-05,5.09155707680514e-05,-0.28960724370904,15.0392323744373,0.776071185048913,0.776071185048913
"[Eubacterium] brachy group","fixed",NA,"treatmentFOS+GOS",-9.79584044587168e-05,4.9422575988691e-05,-1.98205784500451,11.0946991837582,0.0727901616729195,0.218370485018758
"[Eubacterium] brachy group","fixed",NA,"treatmentB. longum APC1472",5.60816420136178e-05,5.15710886350718e-05,1.08746283039444,15.016158008594,0.293979851770844,0.587959703541688
"[Eubacterium] brachy group","ran_pars","dam_cage","sd__(Intercept)",9.36651126347259e-06,NA,NA,NA,NA,NA
"[Eubacterium] brachy group","ran_pars","cohort","sd__(Intercept)",9.34161026096781e-05,NA,NA,NA,NA,NA
"[Eubacterium] brachy group","ran_pars","Residual","sd__Observation",0.000232865323573961,NA,NA,NA,NA,NA
"Negativibacillus","fixed",NA,"dietHFHS",0.00011296223466971,3.20008161059816e-05,3.52997980725234,191.999999999545,0.000520190979509306,0.00183145326630776
"Negativibacillus","fixed",NA,"treatmentFOS+GOS",-0.00011296223466971,3.16791917008606e-05,-3.56581808451387,191.999999997381,0.00045786331657694,0.00183145326630776
"Negativibacillus","fixed",NA,"treatmentB. longum APC1472",-1.46504823062185e-05,3.16791917008606e-05,-0.462463892531086,191.999999997381,0.644272347937279,1
"Negativibacillus","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Negativibacillus","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Negativibacillus","ran_pars","Residual","sd__Observation",0.000156771341624585,NA,NA,NA,NA,NA
"Candidatus Saccharimonas","fixed",NA,"dietHFHS",-0.000106296287567468,5.99767592697389e-05,-1.77229128185156,19.5325311507426,0.0919449011603087,0.275834703480926
"Candidatus Saccharimonas","fixed",NA,"treatmentFOS+GOS",8.55782403775953e-05,6.11202706426125e-05,1.400161345456,17.5956645247901,0.17885109746706,0.35770219493412
"Candidatus Saccharimonas","fixed",NA,"treatmentB. longum APC1472",7.42021885828252e-07,5.97831364939917e-05,0.0124118928738847,19.0861304450084,0.990225820157114,0.990225820157114
"Candidatus Saccharimonas","ran_pars","dam_cage","sd__(Intercept)",7.38270869170584e-05,NA,NA,NA,NA,NA
"Candidatus Saccharimonas","ran_pars","cohort","sd__(Intercept)",1.31207798232678e-08,NA,NA,NA,NA,NA
"Candidatus Saccharimonas","ran_pars","Residual","sd__Observation",0.000199537453942034,NA,NA,NA,NA,NA
"Streptococcus","fixed",NA,"dietHFHS",2.44613086024946e-05,3.499219549168e-05,0.699050409920999,17.0327439604057,0.493956568684794,0.493956568684794
"Streptococcus","fixed",NA,"treatmentFOS+GOS",-0.000147267137566649,3.48214054621875e-05,-4.22921291119526,13.4699060568121,0.00091286160133431,0.00365144640533724
"Streptococcus","fixed",NA,"treatmentB. longum APC1472",-8.25001650024518e-05,3.503992794396e-05,-2.35446160546893,16.8645876555025,0.0309375248586882,0.0618750497173765
"Streptococcus","ran_pars","dam_cage","sd__(Intercept)",2.72907487133582e-05,NA,NA,NA,NA,NA
"Streptococcus","ran_pars","cohort","sd__(Intercept)",3.55083333125249e-05,NA,NA,NA,NA,NA
"Streptococcus","ran_pars","Residual","sd__Observation",0.000144656826073925,NA,NA,NA,NA,NA
"Candidatus Soleaferrea","fixed",NA,"dietHFHS",8.18776194118371e-05,3.55749683123951e-05,2.30155143619085,19.5590475662726,0.0325021237919057,0.097506371375717
"Candidatus Soleaferrea","fixed",NA,"treatmentFOS+GOS",-0.000119771622020608,3.60141030818297e-05,-3.32568665526581,17.2523851886375,0.00393786061091665,0.0157514424436666
"Candidatus Soleaferrea","fixed",NA,"treatmentB. longum APC1472",2.22027677380109e-05,3.54064666505361e-05,0.627082277290008,18.9712172077204,0.538079736081685,0.538079736081685
"Candidatus Soleaferrea","ran_pars","dam_cage","sd__(Intercept)",3.8520805847289e-05,NA,NA,NA,NA,NA
"Candidatus Soleaferrea","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Candidatus Soleaferrea","ran_pars","Residual","sd__Observation",0.000132382283825395,NA,NA,NA,NA,NA
"Defluviitaleaceae UCG-011","fixed",NA,"dietHFHS",1.39367552697165e-05,1.87063503401411e-05,0.74502802611423,18.0526623915757,0.46584441946317,1
"Defluviitaleaceae UCG-011","fixed",NA,"treatmentFOS+GOS",3.2418960017973e-05,1.89022029940417e-05,1.71508897815731,15.3866128029308,0.106392893091155,0.425571572364618
"Defluviitaleaceae UCG-011","fixed",NA,"treatmentB. longum APC1472",-1.38065255697878e-05,1.86397209188012e-05,-0.740704521807602,17.7011251562147,0.468585159179694,1
"Defluviitaleaceae UCG-011","ran_pars","dam_cage","sd__(Intercept)",1.90658070928882e-05,NA,NA,NA,NA,NA
"Defluviitaleaceae UCG-011","ran_pars","cohort","sd__(Intercept)",9.43776199085525e-06,NA,NA,NA,NA,NA
"Defluviitaleaceae UCG-011","ran_pars","Residual","sd__Observation",7.10733864362938e-05,NA,NA,NA,NA,NA
"Monoglobus","fixed",NA,"dietHFHS",-2.39701424835643e-05,2.22404014276824e-05,-1.07777472279475,17.5527429547849,0.295723984940021,0.591447969880042
"Monoglobus","fixed",NA,"treatmentFOS+GOS",-4.81518085680117e-05,2.21787661511882e-05,-2.1710769769504,14.1777664698337,0.0473771092948817,0.142131327884645
"Monoglobus","fixed",NA,"treatmentB. longum APC1472",9.31165788871364e-06,2.22013747786496e-05,0.419418075752154,17.0457718044396,0.680148887348781,0.680148887348781
"Monoglobus","ran_pars","dam_cage","sd__(Intercept)",1.70414819105258e-05,NA,NA,NA,NA,NA
"Monoglobus","ran_pars","cohort","sd__(Intercept)",1.85834037384069e-05,NA,NA,NA,NA,NA
"Monoglobus","ran_pars","Residual","sd__Observation",9.31432948937777e-05,NA,NA,NA,NA,NA
"Agathobacter","fixed",NA,"dietHFHS",-1.81203384847149e-05,1.14497723866931e-05,-1.58259377328533,191.999999996826,0.115159914264353,0.34547974279306
"Agathobacter","fixed",NA,"treatmentFOS+GOS",2.69085426683824e-19,1.13346963767425e-05,2.37399765939877e-14,191.999999994318,0.999999999999981,1
"Agathobacter","fixed",NA,"treatmentB. longum APC1472",-1.81854585643724e-18,1.13346963767425e-05,-1.6044063254916e-13,191.999999995034,0.999999999999872,1
"Agathobacter","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Agathobacter","ran_pars","cohort","sd__(Intercept)",6.80008944318279e-12,NA,NA,NA,NA,NA
"Agathobacter","ran_pars","Residual","sd__Observation",5.60922000368121e-05,NA,NA,NA,NA,NA
"[Eubacterium] xylanophilum group","fixed",NA,"dietHFHS",1.79802995157816e-06,3.85485615289881e-05,0.0466432437492138,18.0407539747158,0.963310020971282,1
"[Eubacterium] xylanophilum group","fixed",NA,"treatmentFOS+GOS",-2.55561007051696e-05,3.96741223706186e-05,-0.644150372538439,16.9346082886614,0.528106950741034,1
"[Eubacterium] xylanophilum group","fixed",NA,"treatmentB. longum APC1472",2.34842061554825e-05,3.85055721715639e-05,0.609891110067061,18.0113302209849,0.549551846438049,1
"[Eubacterium] xylanophilum group","ran_pars","dam_cage","sd__(Intercept)",5.39217406736116e-05,NA,NA,NA,NA,NA
"[Eubacterium] xylanophilum group","ran_pars","cohort","sd__(Intercept)",1.12957655768579e-05,NA,NA,NA,NA,NA
"[Eubacterium] xylanophilum group","ran_pars","Residual","sd__Observation",0.000105430732659048,NA,NA,NA,NA,NA
"Jeotgalicoccus","fixed",NA,"dietHFHS",-3.04533009362566e-06,1.29295220883721e-05,-0.235533074835335,192.000000005128,0.814046046919417,0.814046046919417
"Jeotgalicoccus","fixed",NA,"treatmentFOS+GOS",-1.89041392873428e-05,1.27995738446648e-05,-1.47693505399186,192.000000004718,0.141331373062732,0.423994119188195
"Jeotgalicoccus","fixed",NA,"treatmentB. longum APC1472",-1.89041392873428e-05,1.27995738446648e-05,-1.47693505399186,192.000000004718,0.141331373062732,0.423994119188195
"Jeotgalicoccus","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Jeotgalicoccus","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Jeotgalicoccus","ran_pars","Residual","sd__Observation",6.33414634691118e-05,NA,NA,NA,NA,NA
"Coprococcus","fixed",NA,"dietHFHS",-9.56676735719348e-06,2.16748648888422e-05,-0.441376101131696,19.9544933437356,0.663686311837814,1
"Coprococcus","fixed",NA,"treatmentFOS+GOS",-5.70628491891556e-06,2.13548645661284e-05,-0.267212414353893,15.3624159833676,0.792859577584464,1
"Coprococcus","fixed",NA,"treatmentB. longum APC1472",0.000102480370066847,2.16995548323317e-05,4.72269458330797,19.5249553816201,0.000138389654502149,0.000553558618008596
"Coprococcus","ran_pars","dam_cage","sd__(Intercept)",1.09147998947255e-05,NA,NA,NA,NA,NA
