"phylum","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Firmicutes","Female","week 5","ran_pars","cohort","sd__(Intercept)",4.1384266423487e-09,NA,NA,NA,NA,NA,NA,NA,0.594291187964176,NA,NA,"treatment"
"Firmicutes","Female","week 5","ran_pars","Residual","sd__Observation",0.0945019924786434,NA,NA,NA,NA,NA,NA,NA,0.594291187964176,NA,NA,"treatment"
"Bacteroidota","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.192416473718308,0.0383145489725767,5.02202110890118,33.9999999993555,1.60852817326889e-05,0.11455194194175,0.270281005494866,5.02202110890118,0.433814480943098,NA,3.21705634653778e-05,"treatment"
"Bacteroidota","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.046529847109636,0.0375705063203221,1.23846739548644,33.9999999995949,0.224025745172561,-0.0298226080721587,0.122882302291431,1.23846739548644,0.433814480943098,NA,0.224025745172561,"treatment"
"Bacteroidota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.433814480943098,NA,NA,"treatment"
"Bacteroidota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.433814480943098,NA,NA,"treatment"
"Bacteroidota","Female","week 5","ran_pars","Residual","sd__Observation",0.0938510947076903,NA,NA,NA,NA,NA,NA,NA,0.433814480943098,NA,NA,"treatment"
"Firmicutes","Female","week 10","fixed",NA,"treatmentFOS+GOS",-0.271252867721173,0.0633879505149621,-4.27924969205537,7.16160882357385,0.00347152709379358,-0.420458599995071,-0.122047135447274,-4.27924969205537,0.485132512913288,NA,0.00694305418758715,"treatment"
"Firmicutes","Female","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0927384713290673,0.0613755796766339,-1.51099951833731,7.65562742405597,0.170910639822772,-0.235386689944866,0.0499097472867309,-1.51099951833731,0.485132512913288,NA,0.170910639822772,"treatment"
"Firmicutes","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0594001687238322,NA,NA,NA,NA,NA,NA,NA,0.485132512913288,NA,NA,"treatment"
"Firmicutes","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.485132512913288,NA,NA,"treatment"
"Firmicutes","Female","week 10","ran_pars","Residual","sd__Observation",0.11606852841304,NA,NA,NA,NA,NA,NA,NA,0.485132512913288,NA,NA,"treatment"
"Firmicutes","Male","week 5","fixed",NA,"treatmentFOS+GOS",-0.0389219795829548,0.0676333727049573,-0.575484823930745,10.8627371198493,0.576690130704964,-0.188011846563956,0.110167887398047,-0.575484823930745,0.0220884917173125,0.536631878444574,1,"treatment"
"Firmicutes","Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.00627534418825149,0.0679885844144847,0.0922999683298974,11.3317073037386,0.928071328742412,-0.14283381789,0.155384506266503,0.0922999683298974,0.0220884917173125,0.536631878444574,1,"treatment"
"Firmicutes","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.090551388277791,NA,NA,NA,NA,NA,NA,NA,0.0220884917173125,0.536631878444574,NA,"treatment"
"Firmicutes","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0400722890873991,NA,NA,NA,NA,NA,NA,NA,0.0220884917173125,0.536631878444574,NA,"treatment"
"Firmicutes","Male","week 5","ran_pars","Residual","sd__Observation",0.0939687510801746,NA,NA,NA,NA,NA,NA,NA,0.0220884917173125,0.536631878444574,NA,"treatment"
"Bacteroidota","Male","week 5","fixed",NA,"treatmentFOS+GOS",-0.059690871549246,0.0453947281979001,-1.31492959466618,9.35154945488015,0.219863712424366,-0.161795422144266,0.0424136790457738,-1.31492959466618,0.0405848700649333,0.564129809751369,0.439727424848732,"treatment"
"Bacteroidota","Male","week 5","fixed",NA,"treatmentB. longum APC1472",-0.0147569783659231,0.0467925091021554,-0.315370529366279,10.3694950625213,0.758735866810072,-0.118515797849235,0.089001841117389,-0.315370529366279,0.0405848700649333,0.564129809751369,0.758735866810072,"treatment"
"Bacteroidota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0442826623542454,NA,NA,NA,NA,NA,NA,NA,0.0405848700649333,0.564129809751369,NA,"treatment"
"Bacteroidota","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0823175272354968,NA,NA,NA,NA,NA,NA,NA,0.0405848700649333,0.564129809751369,NA,"treatment"
"Bacteroidota","Male","week 5","ran_pars","Residual","sd__Observation",0.0852876182954181,NA,NA,NA,NA,NA,NA,NA,0.0405848700649333,0.564129809751369,NA,"treatment"
"Firmicutes","Male","week 10","fixed",NA,"treatmentFOS+GOS",-0.151187560327304,0.0414913082605708,-3.64383690622205,8.54588764568387,0.00585748090403309,-0.245813228537222,-0.0565618921173853,-3.64383690622205,0.321827615250447,0.429357897516446,0.0117149618080662,"treatment"
"Firmicutes","Male","week 10","fixed",NA,"treatmentB. longum APC1472",0.00250619508614352,0.0423391489266576,0.0591933269722757,9.68966816213349,0.954001075726423,-0.0922424560792688,0.0972548462515558,0.0591933269722757,0.321827615250447,0.429357897516446,0.954001075726423,"treatment"
"Firmicutes","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0141044767286432,NA,NA,NA,NA,NA,NA,NA,0.321827615250447,0.429357897516446,NA,"treatment"
"Firmicutes","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0402505509220039,NA,NA,NA,NA,NA,NA,NA,0.321827615250447,0.429357897516446,NA,"treatment"
"Firmicutes","Male","week 10","ran_pars","Residual","sd__Observation",0.0982512329171348,NA,NA,NA,NA,NA,NA,NA,0.321827615250447,0.429357897516446,NA,"treatment"
"Verrucomicrobiota","Male","week 5","fixed",NA,"treatmentFOS+GOS",-0.0307477273127893,0.0604564726519972,-0.508592810066525,10.4198032925066,0.621632551669938,-0.164721112695217,0.103225658069638,-0.508592810066525,0.0208387207849817,0.540722287727009,1,"treatment"
"Verrucomicrobiota","Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.0120914187882263,0.0609143082755768,0.198498827788122,11.0631536243009,0.846255476207321,-0.121886752372282,0.146069589948735,0.198498827788122,0.0208387207849817,0.540722287727009,1,"treatment"
"Verrucomicrobiota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0788536284963316,NA,NA,NA,NA,NA,NA,NA,0.0208387207849817,0.540722287727009,NA,"treatment"
"Verrucomicrobiota","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0479678840252603,NA,NA,NA,NA,NA,NA,NA,0.0208387207849817,0.540722287727009,NA,"treatment"
"Verrucomicrobiota","Male","week 5","ran_pars","Residual","sd__Observation",0.0867509367808492,NA,NA,NA,NA,NA,NA,NA,0.0208387207849817,0.540722287727009,NA,"treatment"
"Verrucomicrobiota","Male","week 10","fixed",NA,"treatmentFOS+GOS",0.0832820810605371,0.0522000257834785,1.59544137786415,10.8521881310284,0.139299066142388,-0.031800614329008,0.198364776450082,1.59544137786415,0.12136191963427,0.838869677674943,0.417897198427163,"treatment"
"Verrucomicrobiota","Male","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0031485797736284,0.0528040074905912,-0.0596276669756443,11.5471945543096,0.953471678157681,-0.118700994560637,0.11240383501338,-0.0596276669756443,0.12136191963427,0.838869677674943,0.953471678157681,"treatment"
"Verrucomicrobiota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0774419347441953,NA,NA,NA,NA,NA,NA,NA,0.12136191963427,0.838869677674943,NA,"treatment"
"Verrucomicrobiota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.063119591342873,NA,NA,NA,NA,NA,NA,NA,0.12136191963427,0.838869677674943,NA,"treatment"
"Verrucomicrobiota","Male","week 10","ran_pars","Residual","sd__Observation",0.0473445154940256,NA,NA,NA,NA,NA,NA,NA,0.12136191963427,0.838869677674943,NA,"treatment"
"Verrucomicrobiota","Female","week 10","fixed",NA,"treatmentFOS+GOS",0.169162291278904,0.0638275900093146,2.65030046182564,10.7561526981162,0.0229620797514676,0.0282891646648705,0.310035417892938,2.65030046182564,0.386467618635524,0.952074305688309,0.0688862392544027,"treatment"
"Verrucomicrobiota","Female","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0064516491253686,0.0625150789179526,-0.103201487337735,11.6026048674051,0.919565321772974,-0.143179524246538,0.130276225995801,-0.103201487337735,0.386467618635524,0.952074305688309,1,"treatment"
"Verrucomicrobiota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0914981288044143,NA,NA,NA,NA,NA,NA,NA,0.386467618635524,0.952074305688309,NA,"treatment"
"Verrucomicrobiota","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0380653058921611,NA,NA,NA,NA,NA,NA,NA,0.386467618635524,0.952074305688309,NA,"treatment"
"Verrucomicrobiota","Female","week 10","ran_pars","Residual","sd__Observation",0.0288470915340249,NA,NA,NA,NA,NA,NA,NA,0.386467618635524,0.952074305688309,NA,"treatment"
"Actinobacteriota","Male","week 10","fixed",NA,"treatmentFOS+GOS",0.121787088256534,0.0390927193972265,3.11533938120391,12.9123827987155,0.00825944853024983,0.037274111396622,0.206300065116445,3.11533938120391,0.928483691984539,NA,0.0247783455907495,"treatment"
"Actinobacteriota","Male","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0339700700361829,0.0391235944846136,-0.868275793256739,12.9533625087257,0.401044268642876,-0.118522401964036,0.0505822618916699,-0.868275793256739,0.928483691984539,NA,0.401044268642876,"treatment"
"Actinobacteriota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0632982942297497,NA,NA,NA,NA,NA,NA,NA,0.928483691984539,NA,NA,"treatment"
"Actinobacteriota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.928483691984539,NA,NA,"treatment"
"Actinobacteriota","Male","week 10","ran_pars","Residual","sd__Observation",0.0190330939098799,NA,NA,NA,NA,NA,NA,NA,0.928483691984539,NA,NA,"treatment"
"Actinobacteriota","Male","week 5","fixed",NA,"treatmentFOS+GOS",0.121666761386471,0.0284750974815748,4.27274257674436,11.3334237346306,0.00122961115625596,0.0592177189742856,0.184115803798656,4.27274257674436,0.558789825978119,0.848420813523345,0.00368883346876787,"treatment"
"Actinobacteriota","Male","week 5","fixed",NA,"treatmentB. longum APC1472",-0.00816185812598475,0.0285570909050599,-0.285808458330698,11.624501642323,0.780053869913086,-0.0706060598401488,0.0542823435881793,-0.285808458330698,0.558789825978119,0.848420813523345,0.858877261973851,"treatment"
"Actinobacteriota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.041381612355778,NA,NA,NA,NA,NA,NA,NA,0.558789825978119,0.848420813523345,NA,"treatment"
"Actinobacteriota","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0145971527554647,NA,NA,NA,NA,NA,NA,NA,0.558789825978119,0.848420813523345,NA,"treatment"
"Actinobacteriota","Male","week 5","ran_pars","Residual","sd__Observation",0.0317446610104155,NA,NA,NA,NA,NA,NA,NA,0.558789825978119,0.848420813523345,NA,"treatment"
"Verrucomicrobiota","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.0652746977391068,0.0382005491544674,1.70873715650428,9.16345878390515,0.121071860959456,-0.020906539866607,0.151455935344821,1.70873715650428,0.112190202431121,0.572582897899616,0.363215582878368,"treatment"
"Verrucomicrobiota","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.0274412737774549,0.0377934157380075,0.726086098374489,10.4257672598382,0.483767606620442,-0.0563038823739849,0.111186429928895,0.726086098374489,0.112190202431121,0.572582897899616,0.483767606620442,"treatment"
"Verrucomicrobiota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0427303060903059,NA,NA,NA,NA,NA,NA,NA,0.112190202431121,0.572582897899616,NA,"treatment"
"Verrucomicrobiota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0333799895530715,NA,NA,NA,NA,NA,NA,NA,0.112190202431121,0.572582897899616,NA,"treatment"
"Verrucomicrobiota","Female","week 5","ran_pars","Residual","sd__Observation",0.0522447903091715,NA,NA,NA,NA,NA,NA,NA,0.112190202431121,0.572582897899616,NA,"treatment"
"Actinobacteriota","Female","week 10","fixed",NA,"treatmentFOS+GOS",0.0704090595782086,0.0272246377735849,2.58622576225877,8.16851164430426,0.0317567666174497,0.00785365205206433,0.132964467104353,2.58622576225877,0.42275398099468,NA,0.0952702998523491,"treatment"
"Actinobacteriota","Female","week 10","fixed",NA,"treatmentB. longum APC1472",0.000947763989516199,0.0262302611408134,0.0361324648820027,8.39652236429559,0.972021063874474,-0.0590457067627602,0.0609412347417926,0.0361324648820027,0.42275398099468,NA,0.972021063874474,"treatment"
"Actinobacteriota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0317718892112169,NA,NA,NA,NA,NA,NA,NA,0.42275398099468,NA,NA,"treatment"
"Actinobacteriota","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.42275398099468,NA,NA,"treatment"
"Actinobacteriota","Female","week 10","ran_pars","Residual","sd__Observation",0.0387751776715153,NA,NA,NA,NA,NA,NA,NA,0.42275398099468,NA,NA,"treatment"
"Actinobacteriota","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.042302514043956,0.0173997705417156,2.43121102904987,10.9020519075029,0.0335200209217204,0.00396385660824254,0.0806411714796694,2.43121102904987,0.286209860704529,0.767720043692914,0.100560062765161,"treatment"
"Actinobacteriota","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.00900303227936415,0.0167703771977861,0.536841370541901,11.4315848325989,0.601669155951252,-0.0277390083916361,0.0457450729503644,0.536841370541901,0.286209860704529,0.767720043692914,1,"treatment"
"Actinobacteriota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0233777535312975,NA,NA,NA,NA,NA,NA,NA,0.286209860704529,0.767720043692914,NA,"treatment"
"Actinobacteriota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00366112470633263,NA,NA,NA,NA,NA,NA,NA,0.286209860704529,0.767720043692914,NA,"treatment"
"Actinobacteriota","Female","week 5","ran_pars","Residual","sd__Observation",0.0164349110864249,NA,NA,NA,NA,NA,NA,NA,0.286209860704529,0.767720043692914,NA,"treatment"
"Deferribacterota","Female","week 10","fixed",NA,"treatmentFOS+GOS",-0.0107068256866886,0.00604855936371002,-1.77014476388,30.2754841911387,0.0867740325759222,-0.0230549201996667,0.00164126882628947,-1.77014476388,0.0876923080284784,NA,0.173548065151844,"treatment"
"Deferribacterota","Female","week 10","fixed",NA,"treatmentB. longum APC1472",-0.00583392308000745,0.00596476727305409,-0.978063822600802,27.0193490970926,0.336719340260385,-0.0180722045141004,0.00640435835408549,-0.978063822600802,0.0876923080284784,NA,0.336719340260385,"treatment"
"Deferribacterota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0876923080284784,NA,NA,"treatment"
"Deferribacterota","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00356589473234275,NA,NA,NA,NA,NA,NA,NA,0.0876923080284784,NA,NA,"treatment"
"Deferribacterota","Female","week 10","ran_pars","Residual","sd__Observation",0.0141185086225168,NA,NA,NA,NA,NA,NA,NA,0.0876923080284784,NA,NA,"treatment"
"Desulfobacterota","Female","week 10","fixed",NA,"treatmentFOS+GOS",-0.0212590810661942,0.00597052434803374,-3.56067236761129,33.9999999995143,0.00111737766771893,-0.0333926463902399,-0.00912551574214848,-3.56067236761129,0.272072293132232,NA,0.00223475533543785,"treatment"
"Desulfobacterota","Female","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0150691271424655,0.00585458079942402,-2.57390369331789,33.999999999371,0.0145864673774375,-0.02696706682646,-0.00317118745847097,-2.57390369331789,0.272072293132232,NA,0.0145864673774375,"treatment"
"Desulfobacterota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.272072293132232,NA,NA,"treatment"
"Desulfobacterota","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.272072293132232,NA,NA,"treatment"
"Desulfobacterota","Female","week 10","ran_pars","Residual","sd__Observation",0.0146247381495459,NA,NA,NA,NA,NA,NA,NA,0.272072293132232,NA,NA,"treatment"
"Desulfobacterota","Female","week 5","fixed",NA,"treatmentFOS+GOS",-0.0193280544612579,0.00559073644750869,-3.45715714606271,7.84157844311232,0.00887289347024955,-0.0322657932911287,-0.00639031563138718,-3.45715714606271,0.455871129915459,0.656345640553893,0.0177457869404991,"treatment"
"Desulfobacterota","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.00440865637718703,0.0055025746053649,0.801198837520291,9.16891064433386,0.443282857439271,-0.00800416432451359,0.0168214770788877,0.801198837520291,0.455871129915459,0.656345640553893,0.443282857439271,"treatment"
"Desulfobacterota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00552598438547385,NA,NA,NA,NA,NA,NA,NA,0.455871129915459,0.656345640553893,NA,"treatment"
"Desulfobacterota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00415254446025654,NA,NA,NA,NA,NA,NA,NA,0.455871129915459,0.656345640553893,NA,"treatment"
"Desulfobacterota","Female","week 5","ran_pars","Residual","sd__Observation",0.00905013393309131,NA,NA,NA,NA,NA,NA,NA,0.455871129915459,0.656345640553893,NA,"treatment"
"Desulfobacterota","Male","week 5","fixed",NA,"treatmentFOS+GOS",-0.00648369110613226,0.00315178369269425,-2.05714977241657,7.37096286561703,0.0766765666018228,-0.0138611095034053,0.000893727291140757,-2.05714977241657,0.147281107869737,0.724626322570259,0.153353133203646,"treatment"
"Desulfobacterota","Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.00612655349051463,0.00330855276034184,1.85173214220759,8.0422750089369,0.101012308165533,-0.00149600760618483,0.0137491145872141,1.85173214220759,0.147281107869737,0.724626322570259,0.153353133203646,"treatment"
"Desulfobacterota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00132187939191291,NA,NA,NA,NA,NA,NA,NA,0.147281107869737,0.724626322570259,NA,"treatment"
"Desulfobacterota","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0103181730057896,NA,NA,NA,NA,NA,NA,NA,0.147281107869737,0.724626322570259,NA,"treatment"
"Desulfobacterota","Male","week 5","ran_pars","Residual","sd__Observation",0.00718424704176985,NA,NA,NA,NA,NA,NA,NA,0.147281107869737,0.724626322570259,NA,"treatment"
"Deferribacterota","Male","week 5","fixed",NA,"treatmentFOS+GOS",0.00240015246291104,0.00239305952045185,1.00296396407969,30.0052624911503,0.323898503735114,-0.00248709113847548,0.00728739606429755,1.00296396407969,0.0632698558222533,NA,0.927182967738943,"treatment"
"Deferribacterota","Male","week 5","fixed",NA,"treatmentB. longum APC1472",-0.00101639048169174,0.00252652705773433,-0.402287590224027,30.6186990203233,0.690267119010298,-0.00617187851216972,0.00413909754878623,-0.402287590224027,0.0632698558222533,NA,0.927182967738943,"treatment"
"Deferribacterota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0632698558222533,NA,NA,"treatment"
"Deferribacterota","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0114603987022076,NA,NA,NA,NA,NA,NA,NA,0.0632698558222533,NA,NA,"treatment"
"Deferribacterota","Male","week 5","ran_pars","Residual","sd__Observation",0.00564644908569233,NA,NA,NA,NA,NA,NA,NA,0.0632698558222533,NA,NA,"treatment"
"Deferribacterota","Female","week 5","fixed",NA,"treatmentFOS+GOS",-0.00664397512375748,0.00595898861624955,-1.11495012855706,6.75013990076244,0.30298709051254,-0.0208411699320601,0.0075532196845451,-1.11495012855706,0.128917392302681,NA,0.605974181025079,"treatment"
"Deferribacterota","Female","week 5","fixed",NA,"treatmentB. longum APC1472",-0.00519408196883291,0.00573431648633364,-0.905789204556768,6.86154598180695,0.395739417106767,-0.018809248540461,0.00842108460279521,-0.905789204556768,0.128917392302681,NA,0.605974181025079,"treatment"
"Deferribacterota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00740930858595917,NA,NA,NA,NA,NA,NA,NA,0.128917392302681,NA,NA,"treatment"
"Deferribacterota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.128917392302681,NA,NA,"treatment"
"Deferribacterota","Female","week 5","ran_pars","Residual","sd__Observation",0.00743356923188931,NA,NA,NA,NA,NA,NA,NA,0.128917392302681,NA,NA,"treatment"
"Desulfobacterota","Male","week 10","fixed",NA,"treatmentFOS+GOS",-0.0100622003463508,0.00418470440457062,-2.40451878401749,33.9294583980162,0.0217996380887055,-0.0185671942100263,-0.00155720648267522,-2.40451878401749,0.196651107870454,NA,0.0435992761774111,"treatment"
"Desulfobacterota","Male","week 10","fixed",NA,"treatmentB. longum APC1472",0.000882711432518102,0.00425585140860544,0.207411243431393,33.9307823092434,0.836928523908262,-0.00776686915507527,0.00953229202011148,0.207411243431393,0.196651107870454,NA,0.836928523908262,"treatment"
"Desulfobacterota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.196651107870454,NA,NA,"treatment"
"Desulfobacterota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00223145359808649,NA,NA,NA,NA,NA,NA,NA,0.196651107870454,NA,NA,"treatment"
"Desulfobacterota","Male","week 10","ran_pars","Residual","sd__Observation",0.0103003965207605,NA,NA,NA,NA,NA,NA,NA,0.196651107870454,NA,NA,"treatment"
"Deferribacterota","Male","week 10","fixed",NA,"treatmentFOS+GOS",-0.00465344342595749,0.00309942404370681,-1.50138972929697,9.65694794940227,0.165224634415709,-0.0115927890054084,0.00228590215349341,-1.50138972929697,0.0977463319022287,0.500898535204617,0.330449268831419,"treatment"
"Deferribacterota","Male","week 10","fixed",NA,"treatmentB. longum APC1472",-0.00466363223435588,0.00312789819155306,-1.49097954880696,10.4522426966207,0.16551566615962,-0.0115923647147121,0.00226510024600037,-1.49097954880696,0.0977463319022287,0.500898535204617,0.330449268831419,"treatment"
"Deferribacterota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00374758439599351,NA,NA,NA,NA,NA,NA,NA,0.0977463319022287,0.500898535204617,NA,"treatment"
"Deferribacterota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00247258130367795,NA,NA,NA,NA,NA,NA,NA,0.0977463319022287,0.500898535204617,NA,"treatment"
"Deferribacterota","Male","week 10","ran_pars","Residual","sd__Observation",0.00499555944559733,NA,NA,NA,NA,NA,NA,NA,0.0977463319022287,0.500898535204617,NA,"treatment"
"Proteobacteria","Female","week 10","fixed",NA,"treatmentFOS+GOS",0.00885900148644807,0.00195403326980344,4.53370043558122,33.9999999997002,6.85251429752477e-05,0.00488792810286458,0.0128300748700316,4.53370043558122,0.445290178388442,NA,0.000205575428925743,"treatment"
"Proteobacteria","Female","week 10","fixed",NA,"treatmentB. longum APC1472",-0.000331821624944416,0.0019160872640264,-0.173176676852983,33.9999999996596,0.863539437458268,-0.00422577944663711,0.00356213619674828,-0.173176676852983,0.445290178388442,NA,0.863539437458268,"treatment"
"Proteobacteria","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.445290178388442,NA,NA,"treatment"
"Proteobacteria","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.445290178388442,NA,NA,"treatment"
"Proteobacteria","Female","week 10","ran_pars","Residual","sd__Observation",0.00478638445144061,NA,NA,NA,NA,NA,NA,NA,0.445290178388442,NA,NA,"treatment"
"Proteobacteria","Male","week 10","fixed",NA,"treatmentFOS+GOS",0.0119397300771806,0.00180242471015552,6.62426009247865,10.7090478225267,4.25354339529753e-05,0.00795943028570252,0.0159200298686586,6.62426009247865,0.602101525844725,0.707043376465855,0.000127606301858926,"treatment"
"Proteobacteria","Male","week 10","fixed",NA,"treatmentB. longum APC1472",0.000827703437304328,0.00183831300886935,0.450251634684022,12.3381475056311,0.660338364248138,-0.00316549549146499,0.00482090236607364,0.450251634684022,0.602101525844725,0.707043376465855,1,"treatment"
"Proteobacteria","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00128251745427278,NA,NA,NA,NA,NA,NA,NA,0.602101525844725,0.707043376465855,NA,"treatment"
"Proteobacteria","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0019489798237465,NA,NA,NA,NA,NA,NA,NA,0.602101525844725,0.707043376465855,NA,"treatment"
"Proteobacteria","Male","week 10","ran_pars","Residual","sd__Observation",0.00389817528603497,NA,NA,NA,NA,NA,NA,NA,0.602101525844725,0.707043376465855,NA,"treatment"
"Proteobacteria","Male","week 5","fixed",NA,"treatmentFOS+GOS",0.00486718758737859,0.00278714322840349,1.74629977310731,14.2702499052855,0.102239835125675,-0.00110003676824077,0.0108344119429979,1.74629977310731,0.217895344904509,NA,0.306719505377025,"treatment"
"Proteobacteria","Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.000888328125293328,0.00280721674814077,0.316444437673604,14.6536564080929,0.756128155592518,-0.00510745361494963,0.00688410986553629,0.316444437673604,0.217895344904509,NA,0.756128155592518,"treatment"
"Proteobacteria","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00370113632209384,NA,NA,NA,NA,NA,NA,NA,0.217895344904509,NA,NA,"treatment"
"Proteobacteria","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.217895344904509,NA,NA,"treatment"
"Proteobacteria","Male","week 5","ran_pars","Residual","sd__Observation",0.00411336841747947,NA,NA,NA,NA,NA,NA,NA,0.217895344904509,NA,NA,"treatment"
"Proteobacteria","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.00846541743090079,0.00115423069833898,7.33425080712473,5.5027650489024,0.000486169008813649,0.00557808501539027,0.0113527498464113,7.33425080712473,0.704204166013018,0.739389884714007,0.00145850702644095,"treatment"
"Proteobacteria","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.00034478919054062,0.00112415964680325,0.306708385700455,6.01125768618594,0.769411765355992,-0.00240468212756363,0.00309426050864487,0.306708385700455,0.704204166013018,0.739389884714007,1,"treatment"
"Proteobacteria","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000829697882969454,NA,NA,NA,NA,NA,NA,NA,0.704204166013018,0.739389884714007,NA,"treatment"
"Proteobacteria","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.000292045042741898,NA,NA,NA,NA,NA,NA,NA,0.704204166013018,0.739389884714007,NA,"treatment"
"Proteobacteria","Female","week 5","ran_pars","Residual","sd__Observation",0.00239384264589809,NA,NA,NA,NA,NA,NA,NA,0.704204166013018,0.739389884714007,NA,"treatment"
"Patescibacteria","Male","week 5","fixed",NA,"treatmentFOS+GOS",0.00022874781733054,0.000121484364043289,1.88294040251163,11.811445910298,0.0845622537443213,-3.64132757098777e-05,0.000493908910370957,1.88294040251163,0.257909440599485,NA,0.253686761232964,"treatment"
"Patescibacteria","Male","week 5","fixed",NA,"treatmentB. longum APC1472",-6.11137336404648e-05,0.000122757742869013,-0.497840154210684,12.327571176603,0.627358765859095,-0.000327793749428012,0.000205566282147082,-0.497840154210684,0.257909440599485,NA,0.834052438899032,"treatment"
"Patescibacteria","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000139528381158437,NA,NA,NA,NA,NA,NA,NA,0.257909440599485,NA,NA,"treatment"
