"Row.names","cohort","dam_cage","diet","treatment","diet_treatment","sex","age","timepoint","Sample_or_control","Chao1","se.chao1","Shannon","Simpson"
"408w10","cohort4","113","Control","Vehicle","Control Vehicle","Female","pup","week 10","Sample",224,0.0831471133613035,4.22355621196139,0.963886111071926
"408w5","cohort4","113","Control","Vehicle","Control Vehicle","Female","pup","week 5","Sample",186,0,3.42638704754759,0.926631259461278
"409w10","cohort4","113","Control","Vehicle","Control Vehicle","Female","pup","week 10","Sample",318.25,1.73269710747464,4.04909327339008,0.957071699119958
"409w5","cohort4","113","Control","Vehicle","Control Vehicle","Female","pup","week 5","Sample",233,0.071275126414767,4.46164429378625,0.978284053255275
"412w10","cohort4","113","Control","Vehicle","Control Vehicle","Male","pup","week 10","Sample",320.2,1.84095649038762,4.0662897147634,0.960113702770196
"412w5","cohort4","113","Control","Vehicle","Control Vehicle","Male","pup","week 5","Sample",273.6,1.18615145034599,3.84827242187331,0.93538556102593
"413w10","cohort4","113","Control","Vehicle","Control Vehicle","Male","pup","week 10","Sample",247.5,1.02718383056456,4.16667371962864,0.958998752894851
"413w5","cohort4","113","Control","Vehicle","Control Vehicle","Male","pup","week 5","Sample",185,0.0997293635091789,3.34187674664023,0.918595934634488
"419w10","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Female","pup","week 10","Sample",156,0.166131619807053,3.65152556215841,0.941445998849602
"419w5","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Female","pup","week 5","Sample",199,0.0831236893953431,3.87645641281803,0.94904020875648
"420w10","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Female","pup","week 10","Sample",244.2,0.62142105513422,4.36852402676914,0.975464077388562
"420w5","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Female","pup","week 5","Sample",289,0,4.2712106787436,0.966833365742909
"421w10","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Female","pup","week 10","Sample",207,0,4.28198143092758,0.966888586207728
"421w5","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Female","pup","week 5","Sample",195,0.1662387669448,3.92221269043854,0.948733480396282
"422w10","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Male","pup","week 10","Sample",175.333333333333,4.1268517384997,4.05731674049768,0.960359246028903
"422w5repeat","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Male","pup","week 5","Sample",146,0,3.93183138988352,0.966550025881176
"423w10","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Male","pup","week 10","Sample",279.111111111111,0.409672290276877,3.76131324959764,0.943756240759004
"423w5","cohort4","126","HFHS","Vehicle","HFHS Vehicle","Male","pup","week 5","Sample",204.5,1.0271378801986,4.01415222605029,0.955707691262816
"435w10","cohort4","116","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","pup","week 10","Sample",229.166666666667,0.543470061910536,3.87001330318009,0.954728836182711
"435w5","cohort4","116","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","pup","week 5","Sample",262.142857142857,0.486920068370931,4.43688517430637,0.97414354227343
"436w10","cohort4","116","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","pup","week 10","Sample",198,0.12468394386843,3.44173060014445,0.924679378045838
"436w5","cohort4","116","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","pup","week 5","Sample",241.2,0.621418694625331,4.33519039017987,0.975848555683031
"438w10","cohort4","116","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 10","Sample",261,0,3.95909450964602,0.961055951137481
"438w5","cohort4","116","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 5","Sample",171,0.498535868013432,3.43503434527149,0.909030784158587
"439w10","cohort4","116","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 10","Sample",177,0.124646392502318,3.76571737713365,0.955104008884604
"439w5","cohort4","116","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 5","Sample",155,0,3.3322834376922,0.87833354724725
"501w10","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","pup","week 10","Sample",226.428571428571,0.912896427705606,3.65546334540054,0.939087160378627
"501w5","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","pup","week 5","Sample",190.166666666667,0.543438932086828,3.74386452509341,0.943513109756098
"503w10","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","pup","week 10","Sample",201,0.498754668053816,3.33988833675139,0.904174672630478
"503w5","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","pup","week 5","Sample",207,5.53966325948146,3.95221909160881,0.959772188534634
"506w10","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 10","Sample",254,0,3.74311013133436,0.942300510156742
"506w5","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 5","Sample",196.25,0.736526400433163,3.84228908869777,0.942720877789059
"507w10","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 10","Sample",177,0,4.29863256683118,0.97202841873068
"507w5","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 5","Sample",153,0,3.94191274286611,0.96000590880328
"508w10","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 10","Sample",114.5,2.59429168463729,3.52514340698875,0.927454073518822
"508w5","cohort5","130","HFHS","B. longum APC1472","HFHS B. longum APC1472","Male","pup","week 5","Sample",149,2.33947736950288,4.02641719341618,0.966877516057721
