"sex","timepoint","Phylum",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Female","week 10","Proteobacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",7.6582894674924e-05,0.014,"7.7e-05","****","Wilcoxon","Abundance",0.81317279836453,12,12,"large"
"Female","week 10","Proteobacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.978303075335944,1,"0.97830","ns","Wilcoxon","Abundance",0.0108785658644084,12,13,"small"
"Female","week 10","Proteobacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",4.01423841526447e-05,0.0076,"4.0e-05","****","Wilcoxon","Abundance",0.82677100569504,12,13,"large"
"Male","week 10","Proteobacteria","Abundance","Control Vehicle","HFHS Vehicle",0.0349304854554014,1,"0.03493","*","Wilcoxon","Abundance",0.436428850224817,12,12,"moderate"
"Male","week 10","Proteobacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.000100312232952741,0.019,"0.00010","***","Wilcoxon","Abundance",0.783407411997815,12,13,"large"
"Male","week 10","Proteobacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.260132568231854,1,"0.26013","ns","Wilcoxon","Abundance",0.235753516731969,12,12,"small"
"Male","week 10","Proteobacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",2.49286946474741e-05,0.0049,"2.5e-05","****","Wilcoxon","Abundance",0.848528137423857,12,13,"large"
"Male","week 10","Proteobacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.112351197690464,1,"0.11235","ns","Wilcoxon","Abundance",0.329983164553722,12,12,"moderate"
"Male","week 10","Proteobacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",2.49286946474741e-05,0.0049,"2.5e-05","****","Wilcoxon","Abundance",0.848528137423857,13,12,"large"
"Male","week 5","Proteobacteria","Abundance","Control Vehicle","HFHS Vehicle",0.325294455715097,1,"0.32529","ns","Wilcoxon","Abundance",0.206689291854458,12,12,"small"
"Male","week 5","Proteobacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.0338605516606504,1,"0.03386","*","Wilcoxon","Abundance",0.429786010748801,12,13,"moderate"
"Male","week 5","Proteobacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.400447874176772,1,"0.40045","ns","Wilcoxon","Abundance",0.177550338797248,12,12,"small"
"Male","week 5","Proteobacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00889949065864255,1,"0.00890","**","Wilcoxon","Abundance",0.528628016139496,12,13,"large"
"Male","week 5","Proteobacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.930133811002879,1,"0.93013","ns","Wilcoxon","Abundance",0.0238625163607434,12,12,"small"
"Male","week 5","Proteobacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0355335691911762,1,"0.03553","*","Wilcoxon","Abundance",0.425905328491214,13,12,"moderate"
"Female","week 5","Proteobacteria","Abundance","Control Vehicle","HFHS Vehicle",0.338669719616063,1,"0.33867","ns","Wilcoxon","Abundance",0.201223717303548,12,12,"small"
"Female","week 5","Proteobacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.000891652557670341,0.15,"0.00089","***","Wilcoxon","Abundance",0.684131711163227,12,12,"large"
"Female","week 5","Proteobacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.2404071160031,1,"0.24041","ns","Wilcoxon","Abundance",0.240254287866839,12,13,"small"
"Female","week 5","Proteobacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",3.64420272924621e-05,0.007,"3.6e-05","****","Wilcoxon","Abundance",0.84871266023509,12,12,"large"
"Female","week 5","Proteobacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.68273561188199,1,"0.68274","ns","Wilcoxon","Abundance",0.0871963737962056,12,13,"small"
"Female","week 5","Proteobacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",5.05552102762898e-05,0.0095,"5.1e-05","****","Wilcoxon","Abundance",0.816049387497724,12,13,"large"
"Male","week 5","Verrucomicrobiota","Abundance","Control Vehicle","HFHS Vehicle",0.0998774027692641,1,"0.09988","ns","Wilcoxon","Abundance",0.341768277573498,12,12,"moderate"
"Male","week 5","Verrucomicrobiota","Abundance","Control Vehicle","HFHS FOS+GOS",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,12,13,"small"
"Male","week 5","Verrucomicrobiota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.140955219144371,1,"0.14096","ns","Wilcoxon","Abundance",0.306412938514171,12,12,"moderate"
"Male","week 5","Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.605343339336507,1,"0.60534","ns","Wilcoxon","Abundance",0.108785658644084,12,13,"small"
"Male","week 5","Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.976970255321976,1,"0.97697","ns","Wilcoxon","Abundance",0.0117851130197758,12,12,"small"
"Male","week 5","Verrucomicrobiota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.341160626670575,1,"0.34116","ns","Wilcoxon","Abundance",0.195814185559352,13,12,"small"
"Male","week 10","Verrucomicrobiota","Abundance","Control Vehicle","HFHS Vehicle",0.260236202617189,1,"0.26024","ns","Wilcoxon","Abundance",0.235702260395516,12,12,"small"
"Male","week 10","Verrucomicrobiota","Abundance","Control Vehicle","HFHS FOS+GOS",0.399178751652786,1,"0.39918","ns","Wilcoxon","Abundance",0.174057053830535,12,13,"small"
"Male","week 10","Verrucomicrobiota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.140955219144371,1,"0.14096","ns","Wilcoxon","Abundance",0.306412938514171,12,12,"moderate"
"Male","week 10","Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.341160626670575,1,"0.34116","ns","Wilcoxon","Abundance",0.195814185559352,12,13,"small"
"Male","week 10","Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.623604884395689,1,"0.62360","ns","Wilcoxon","Abundance",0.106066017177982,12,12,"small"
"Male","week 10","Verrucomicrobiota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,13,12,"small"
"Female","week 10","Verrucomicrobiota","Abundance","Control Vehicle","HFHS Vehicle",0.402503823782004,1,"0.40250","ns","Wilcoxon","Abundance",0.176776695296637,12,12,"small"
"Female","week 10","Verrucomicrobiota","Abundance","Control Vehicle","HFHS FOS+GOS",0.00426476491403054,0.69,"0.00426","**","Wilcoxon","Abundance",0.58925565098879,12,12,"large"
"Female","week 10","Verrucomicrobiota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.683082518213167,1,"0.68308","ns","Wilcoxon","Abundance",0.0870955492793907,12,13,"small"
"Female","week 10","Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.026229387834857,1,"0.02623","*","Wilcoxon","Abundance",0.459619407771256,12,12,"moderate"
"Female","week 10","Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.288751619182717,1,"0.28875","ns","Wilcoxon","Abundance",0.217613169999393,12,13,"small"
"Female","week 10","Verrucomicrobiota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00600760025190985,0.95,"0.00601","**","Wilcoxon","Abundance",0.554913583498452,12,13,"large"
"Female","week 5","Verrucomicrobiota","Abundance","Control Vehicle","HFHS Vehicle",0.976965248614044,1,"0.97697","ns","Wilcoxon","Abundance",0.0117876758365985,12,12,"small"
"Female","week 5","Verrucomicrobiota","Abundance","Control Vehicle","HFHS FOS+GOS",0.214394143112433,1,"0.21439","ns","Wilcoxon","Abundance",0.259328868405166,12,12,"small"
"Female","week 5","Verrucomicrobiota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.68325554574123,1,"0.68326","ns","Wilcoxon","Abundance",0.0870452679997572,12,13,"small"
"Female","week 5","Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.236584093321876,1,"0.23658","ns","Wilcoxon","Abundance",0.247487373415292,12,12,"small"
"Female","week 5","Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.462763970575789,1,"0.46276","ns","Wilcoxon","Abundance",0.152299922101718,12,13,"small"
"Female","week 5","Verrucomicrobiota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.531631442021847,1,"0.53163","ns","Wilcoxon","Abundance",0.130542790372901,12,13,"small"
